week,n_kept,is_pooled,is_med_sp,oos_pooled,oos_med_sp,zero_pooled
2025-03-02,370,0.99644790420056,0.9913265468323168,0.657157392495602,-0.14559936875022372,-0.05907893049928448
2025-03-09,401,0.9956010664315486,0.9918863406564916,0.6810691780215596,0.5193576933515991,-0.07118528897908849
2025-03-16,421,0.9951265852319545,0.9921685186512279,0.8397830880117703,0.7879576178575735,-0.0643161402635013
2025-03-23,424,0.9809757091488341,0.9928434969374377,0.5611672799626052,0.7720770551839458,-0.08170424676253418
2025-03-30,433,0.9824717901035127,0.9933921559914833,0.802532687091893,0.9074157211743558,-0.09970774051418418
2025-04-06,448,0.9803656201293655,0.9924882059951422,0.7741929435229689,0.5996034449032809,-2.9500009349092693e-05
2025-04-13,458,0.9803946863275239,0.9930695039958966,0.5848908334211839,0.45360963747160377,-0.006601798143584858
2025-04-20,472,0.9607965607496936,0.9876521325918082,-0.01908069878365337,0.5306319021408679,-0.007896163843730264
2025-04-27,458,0.9632659655085015,0.9834465523828009,0.524489402426197,0.280160725391085,-0.0012598023471774855
2025-05-04,472,0.9609305588853024,0.9831256174409782,0.4609738127067238,-0.006687909381661528,-0.1482812802092066
2025-05-11,475,0.9635587239763067,0.9798682060952784,0.3942254471806831,0.0016787712345650574,-0.026559442530326827
2025-05-18,482,0.9838682683681528,0.976302631006754,0.6594405717382776,0.4750976677695962,-0.04509390444504913
2025-05-25,470,0.9839295551862629,0.9769273330871404,0.8960485164806373,0.7937295853172338,-0.012458050148081545
2025-06-01,465,0.9836672477778627,0.9758372402870541,0.8947914365644534,0.786746849395282,-0.006023245689084744
2025-06-08,451,0.9839323983372893,0.9767004033805453,0.9002210442484907,0.8078552760190361,-9.61008277353681e-05
2025-06-15,447,0.9874489193064953,0.9791153874260214,0.8079125225929957,0.642630837251945,-0.000738777796700063
2025-06-22,426,0.9854741726514121,0.9804719913347075,0.8453291640783058,0.7332277375291583,-0.000983127251892535
2025-06-29,398,0.9853643088251346,0.9828447177727421,0.8855165950036054,0.653338072900733,-0.005256276366934376
2025-07-06,402,0.9857171411369894,0.9856736796473741,0.9231318556673134,0.6516603659557306,-0.0002265309766755763
2025-07-13,376,0.9882982226226167,0.9915103896283591,0.912410934372607,0.803620698276051,-3.405697935709995e-05
2025-07-20,365,0.988755822339547,0.9935429663848855,0.8602592298456035,0.9486319811966581,-0.011852617027415802
2025-07-27,375,0.986348880757501,0.9892978409741884,0.8939285348377444,0.8891584190130739,-6.617922703111567e-05
2025-08-03,389,0.9871928261206032,0.9881067576280027,0.26422231446903977,0.7124891900893402,-0.09767671366982977
2025-08-10,392,0.9895484631968962,0.9892784148985976,0.9754482260606089,0.9551600862557447,-0.0023562446859626274
2025-08-17,390,0.9901240004885885,0.9842476372618398,0.9756669779268985,0.9373542458259552,-0.03101193655560741
2025-08-24,392,0.9911311083387657,0.9853608400006626,0.9265616065193238,0.9248504292756721,-0.011586583698679043
2025-08-31,402,0.992595354064038,0.9863802681101622,0.9332894212286202,0.8338742671597794,-0.038594615285896694
2025-09-07,404,0.9923313976088507,0.9869187127944872,0.9188341045677045,0.9109651077293681,-0.09468673332222188
2025-09-14,402,0.9926023161313274,0.9873224179306568,0.6800579613716825,0.36031714279851923,-0.002687349914779702
2025-09-21,408,0.9969010418631116,0.991469311092123,0.4932593911620238,0.6670828176388827,-0.009424448928395446
2025-09-28,426,0.9957055229110378,0.9894597172476894,0.9384835259429473,0.7784186240172544,-0.03194788571603002
2025-10-05,435,0.9955102314099532,0.986448154502607,0.9388996021413042,0.7954817365933251,-0.03161861034403057
2025-10-12,436,0.9928922592551999,0.9814289634026855,0.7169269153158508,0.5583897606516615,-0.1240604609705096
2025-10-19,446,0.9925276488019648,0.981310019046389,0.8670486505407196,0.7947245241485029,-0.1217240155336834
2025-10-26,451,0.9929843920086703,0.9845498394017477,0.8748336462790943,0.7135625548601563,-0.05450033124910503
2025-11-02,460,0.9915922428985215,0.9856293996347151,0.3571596422450699,0.06531117077667026,-0.16626848722223841
2025-11-09,477,0.9916499098646614,0.9908120502920073,0.5792608693097141,0.524172982674543,-0.24055538104692498
2025-11-16,488,0.9889230200156799,0.9897023433639179,0.6815075990461303,0.3613790369669765,-0.014901329042431355
2025-11-23,479,0.9884857632637075,0.9893404764907365,0.6388748534589537,0.5592223292309046,-0.05038835331613356
2025-11-30,457,0.9874397362566879,0.9907268194083378,0.6716454332841922,0.5907530818341882,-0.011224865768388659
2025-12-07,451,0.9860079034252791,0.9906627116447513,0.8735911919818082,0.7601801303711067,-0.007426417240706362
2025-12-14,435,0.98637077366423,0.9904808158281886,0.9440411885860284,0.9269735547097714,-0.0018552828791977838
2025-12-21,409,0.9865902348632285,0.9904719285668897,0.9345424902330409,0.8390878776717406,-0.056928513551136595
2025-12-28,381,0.9860232435933299,0.9890879442490119,0.9120168614946832,0.84387305770756,-0.00018181308658782314
