week,r2_oracle,spearman_oracle,sign_oracle,topdec_oracle,r2_clim,spearman_clim,sign_clim,topdec_clim,r2_pers,spearman_pers,sign_pers,topdec_pers,coverage,n_shared,rotation_corr
2025-03-02,0.657157392495602,0.7864144217681387,0.8054828829403695,0.6496598639455783,0.044558312169303615,0.15675882402203486,0.4268417190441247,0.4254205364030737,-0.05712683318395362,0.395856789622984,0.6495230194939859,0.45421876408884615,0.7186195996877063,167,0.53625267454955
2025-03-09,0.6810691780215596,0.7976807396241441,0.8621582888192332,0.6261540330417882,0.010149793740415025,0.2022718187841089,0.5560954300560226,0.42784256559766765,-0.06635755527746157,0.3811206101465736,0.6087076477395523,0.5241739552964043,0.7096222413684873,176,0.5155363898009451
2025-03-16,0.8397830880117703,0.8507486264730967,0.9420319127449001,0.6930879494655006,0.1608474399619536,0.38295518984589044,0.6632304274194801,0.4265063168124392,-0.25010932870535707,0.3540358694601559,0.660332799900564,0.3997206025267249,0.6978985458796942,169,0.38387079269020546
2025-03-23,0.5611672799626052,0.7728855463730504,0.9286223086880261,0.7298955296404277,0.23769340389946925,0.45593332275365045,0.7518822907650947,0.5857628765792031,0.1622346243381263,0.5104668230383952,0.789551084184162,0.5800534499514092,0.7510087602274698,171,0.4201853690205256
2025-03-30,0.802532687091893,0.8671698189164648,0.9269329424697691,0.7591715257531585,0.2626043518882757,0.567028245926612,0.7916379626236717,0.5769557823129251,0.17582043449356022,0.5565895717013926,0.7624331256870649,0.5752551020408163,0.8525853293660751,175,0.3797750829291333
2025-04-06,0.7741929435229689,0.7529685211879483,0.8851098232581968,0.6790573372206025,0.25832708890758105,0.46498007700172617,0.6511990906762295,0.5232021379980564,-0.2526688698736692,0.3280530741331781,0.6034355788934426,0.5108722060252673,0.7931054969695174,214,0.36768043992848765
2025-04-13,0.5848908334211839,0.8357153336373396,0.8818554967607932,0.7632410106899903,0.28783019268552545,0.6556252431231635,0.7758412400121515,0.5703960155490767,0.2486049026199062,0.6589807402777575,0.8077458370717854,0.6303449951409135,0.8260030887103091,179,0.4225918039802254
2025-04-20,-0.01908069878365337,0.7823967464956469,0.8905751053774429,0.7239431486880467,0.15338162435840264,0.5812587220512805,0.7787233363137055,0.6261540330417882,-0.08766940557877012,0.5813873715224614,0.7822359177417295,0.6087827988338192,0.7520878318931286,175,0.28766606214433466
2025-04-27,0.524489402426197,0.7420022107764078,0.7960696525120451,0.5999987852283771,0.2333402477686195,0.5996635564459334,0.7458984647322189,0.6938678328474248,0.10311877929258284,0.5514644132205458,0.7334815411547816,0.5434924684159379,0.7756870686378393,185,0.2560855682602406
2025-05-04,0.4609738127067238,0.7248010504958003,0.7628453083196338,0.6894047619047619,0.18270009609463322,0.48299315546256494,0.7475904973729168,0.7168452380952381,-0.010466629267751548,0.4861317952675733,0.6833478387003191,0.6290476190476191,0.7384536713490306,204,0.29190518878872307
2025-05-11,0.3942254471806831,0.841271063883253,0.80064671086894,0.729107142857143,0.1913775492971096,0.576991138772823,0.7555635012553342,0.6240476190476191,0.09008156217170737,0.6522935017895412,0.7555479553209847,0.6332738095238095,0.7384256195991498,212,0.26954914098946525
2025-05-18,0.6594405717382776,0.8881262346889339,0.863464305478694,0.7979166666666667,0.37827128821854805,0.603906929987736,0.7868954067515218,0.7660119047619047,0.06619761134995539,0.7341051032177683,0.7804537908135031,0.7496428571428572,0.8508832193661724,195,0.3467887336640917
2025-05-25,0.8960485164806373,0.848773590801855,0.9294645719781981,0.8130357142857141,0.21834948608934368,0.5619486480534658,0.8004740530389777,0.6739285714285715,0.5082443308870781,0.6902132181382992,0.8502839738011267,0.7120238095238095,0.8477663462137225,198,0.3241903702931716
2025-06-01,0.8947914365644534,0.8544272849147131,0.8843686846498551,0.8882673267326734,0.28349753213235185,0.6301348724294813,0.8182387312186978,0.7886203441772748,0.5575330421566482,0.6846091542948477,0.7938889377031896,0.75489627534182,0.8412386858251839,187,0.32270268028160426
2025-06-08,0.9002210442484907,0.870721841312749,0.9167387636804084,0.8485384252710986,0.2651053350428648,0.5797660681011438,0.7519790630272094,0.667138142385667,0.37574627527817006,0.744451515591485,0.8558528355755505,0.7418670438472419,0.8459913696194975,185,0.3315581451633795
2025-06-15,0.8079125225929957,0.8779515507884177,0.8880182084213949,0.8544908062234794,0.31392989746791866,0.5893399025905597,0.7815883596163226,0.7375648279113626,0.26110147534570294,0.6024116296883507,0.7604617135425135,0.7548326261197548,0.9132902479997896,197,0.44519810575739954
2025-06-22,0.8453291640783058,0.8387614807468233,0.9170196238000998,0.8876709099481376,0.22113143697275417,0.5926828366618875,0.7955592135683504,0.7887788778877888,0.6387831846224392,0.7389961032105846,0.895268833114469,0.8094648750589344,0.9004277459242203,198,0.387112692754488
2025-06-29,0.8855165950036054,0.8683023919644439,0.8683143284660234,0.8838659177984373,0.29777402129793373,0.560048368408552,0.7030596976420206,0.7407730370817941,0.6165236522287965,0.741881242762821,0.8096073474020948,0.7899175146363456,0.8790636637708847,177,0.3311600836673822
2025-07-06,0.9231318556673134,0.8779188913283478,0.8806263584271883,0.8826282940360611,0.4380379507711961,0.5974131166683689,0.7584963445959296,0.7592464170134073,0.6494583055703353,0.7018018076683581,0.790594744121715,0.7615580212667591,0.8928753667409711,214,0.29907717739530787
2025-07-13,0.912410934372607,0.88469938575957,0.9379400188480514,0.8188280166435506,0.42375814174688675,0.6000844420864253,0.759317774451651,0.6853906611188163,0.6103346550054779,0.6966692019911156,0.7869338655136094,0.6830212667591309,0.8925529666708827,210,0.3381869734026094
2025-07-20,0.8602592298456035,0.881859664824154,0.9621978220595545,0.8511904761904762,0.39755792244311283,0.5742775579978799,0.808955763408793,0.6404877484974572,0.5855046424846835,0.7089449159409986,0.8747729429307306,0.738962089690245,0.8264066070716555,215,0.48784425018412536
2025-07-27,0.8939285348377444,0.8475303109871086,0.9073200091715072,0.7916088765603329,0.1347275638646619,0.4614399091358186,0.7053653317028432,0.5691747572815534,0.23740383736043136,0.6800022555581025,0.8159966371140324,0.7081599630143319,0.7584185136215803,221,0.4939919387044021
2025-08-03,0.26422231446903977,0.9138546580978074,0.962434692617136,0.8453514527543653,0.13333268101119555,0.3818822142214489,0.6991770852459563,0.5917184554927274,-0.09541546644349963,0.7608159781431422,0.875703149777162,0.78241969397916,0.9624896400143945,220,0.4228748614379138
