week,overlapping_60d,disjoint_60d,n_shared
2025-05-01,0.9084480157322176,0.5668337530849084,194
2025-05-08,0.8850138099249006,0.5177776029709237,214
2025-05-15,0.8726340463280539,0.4937277366884761,226
2025-05-22,0.859099806703413,0.4439927889626232,229
2025-05-29,0.8666366081903327,0.4589425261978475,239
2025-06-05,0.9294372998692778,0.4276318064791863,239
2025-06-12,0.9225363229359713,0.4266294538536972,241
2025-06-19,0.8709719014160436,0.42339075422865735,237
2025-06-26,0.9266746598733021,0.45787237034587536,233
2025-07-03,0.8878425207949161,0.4263865385984846,231
2025-07-10,0.9046875524812518,0.47085298180476715,229
2025-07-17,0.7496850499023325,0.45461987066837767,225
2025-07-24,0.9434949717430704,0.5125423196226001,231
2025-07-31,0.884210083967903,0.487450654743051,228
2025-08-07,0.9347216665165766,0.4735094996911778,234
2025-08-14,0.8974120014459217,0.4812319902820567,245
2025-08-21,0.9396817716972803,0.4542090735321051,241
2025-08-28,0.9198725477868875,0.349346083200006,247
2025-09-04,0.9288169020268021,0.3858274240924197,263
2025-09-11,0.9294441639264707,0.36191347517867145,261
2025-09-18,0.8964228852778025,0.47903481375456913,259
2025-09-25,0.7442946826108574,0.4445227721971415,259
2025-10-02,0.7441551594447205,0.4939790457367233,262
2025-10-09,0.919090033538709,0.4952221691359382,260
2025-10-16,0.870591318842313,0.4856380923683117,247
2025-10-23,0.8873372334795818,0.47441507563920254,249
2025-10-30,0.9278941536375759,0.46681807160721883,248
2025-11-06,0.931799688500772,0.4712681057473757,235
2025-11-13,0.9115922194106871,0.41266968493131223,230
2025-11-20,0.9414969415092577,0.44022607499075184,230
2025-11-27,0.9373781284442685,0.5366299675643306,228
2025-12-04,0.9327957544687385,0.5193561006179331,227
2025-12-11,0.9394179983598524,0.5054505377780282,214
2025-12-18,0.9295239939333559,0.5193350771097136,214
2025-12-25,0.922920405777427,0.5507953357148229,200
