settlement_point,sp_type,lat,lon,match_method,match_confidence,matched_plant,matched_capacity_mw,station_description,owner_re,expected_mw,capacity_ratio,load_zone
ANACACHO_ANA,OTHER,29.234722,-100.209167,lmp_node_designation,1.0,Anacacho Wind Farm LLC,99.8,ANACACHO,ANACACHO WIND FARM LLC | RWE CLEAN ENERGY LLC,100.0,1.002,south
ANCHOR_ALL,OTHER,32.308524,-99.164198,owner_name,1.0,Ranchland Wind Project II,148.0,ANCHOR WIND AND BESS,RANCHLAND WIND STORAGE LLC | ENEL TRADING NORTH AMERICA LLC | RANCHLAND WIND PROJECT LLC | RANCHLAND WIND PROJECT II LLC,263.0,1.777,west
ANDMDSLR_ALL,OTHER,32.906622,-101.007589,gridstatus,1.0,Lumina II Solar Project,486.6,ANDROMEDA SOLAR,IP LUMINA II LLC | IPX POWER USA LLC,321.0,0.66,west
ANEM_ESS_RN,RN,26.45,-98.48,owner_name,1.0,Anemoi Energy Storage,200.0,,ANEMOI ENERGY STORAGE LLC | PLUS POWER LLC,0.0,,south
ANG_ALL,OTHER,31.513785999999996,-100.598226,gridstatus,1.0,Angelo Solar,195.0,ANGELO SOLAR,ANGELO STORAGE LLC | APEX CLEAN ENERGY HOLDINGS LLC | ANGELO SOLAR LLC,195.0,1.0,west
ANOL_ESS_RN,RN,32.552083,-96.539931,owner_name,1.0,Anole Energy Storage,240.0,,ANOLE ENERGY STORAGE LLC,0.0,,north
ANSON1_ALL,OTHER,32.811041,-99.91749,station_description,1.0,ANSON Solar Center LLC,200.0,ANSON SOLAR 1,ANSON SOLAR CENTER LLC | ENGIE ENERGY MARKETING NA INC | ANSON SOLAR CENTER 2 LLC,202.0,1.01,west
ANTL_ESS_ES1,OTHER,29.72753,-100.7943,gridstatus,1.0,Antlia,70.0,,BRP ANTLIA BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,west
APPALOSA_ALL,OTHER,31.157269,-101.831603,station_description,1.0,Appaloosa Run Wind,171.8,APPALOOSA RUN WIND,APPALOOSA RUN WIND LLC | NEXTERA ENERGY RESOURCES LLC,172.0,1.001,west
APPLE_ESR_RN,RN,31.6757,-102.3638,manual,1.0,,0.0,,APPLE INFRA LLC,0.0,,west
AQLA_WND_RN,RN,31.936717,-96.893394,gridstatus,1.0,Hubbard Wind,300.0,,HUBBARD WIND II LLC | NEXTERA ENERGY RESOURCES LLC,0.0,,north
AQUI_ALL,OTHER,31.751320000000007,-96.8893,gridstatus,1.0,Hubbard Wind,300.0,AQUILLA LAKE WIND,HUBBARD WIND LLC | NEXTERA ENERGY RESOURCES LLC,300.0,1.0,north
ARAGORN_RN,RN,31.719983,-104.442292,station_description,1.0,Aragorn Solar Project,187.2,ARAGORN SOLAR,SE ARAGORN LLC | SB ENERGY DEVCO (US) INC,188.0,1.004,west
ARY_BESS_RN,RN,26.264118,-97.608343,manual,1.0,,0.0,,BT CANTWELL SOLAR LLC,0.0,,south
ASCK_SLR_RN,RN,31.898184999999998,-97.018248,gridstatus,1.0,Ash Creek Solar,408.9,ASH CREEK SOLAR,ASH CREEK SOLAR LLC,418.0,1.022,north
ASTRA_RN,RN,34.769544,-102.052422,owner_name,1.0,Astra Wind Farm,163.0,,ASTRA WIND LLC,0.0,,west
ATK_ATKINSG7,OTHER,30.64741,-96.372316,manual,1.0,Bryan (TX),0.0,ATKINS,BRYAN TEXAS UTILITIES,21.0,,north
AURO_SLR_RN,RN,30.996511,-97.001505,owner_name,1.0,Orion I Solar Project,200.0,AUREOLA SOLAR,BEN MILAM SOLAR 1 LLC | SB ENERGY DEVCO (US) INC,202.0,1.01,south
AUSTPL_ALL,OTHER,30.293424,-97.784408,station_description,1.0,Austin,18.0,AUSTIN PLANT,LOWER COLORADO RIVER AUTHORITY,18.0,1.0,south
AVIAT_ALL,OTHER,31.79261,-100.69729,station_description,1.0,Aviator Wind,525.0,AVIATOR WIND | DEWOLF EAST,AVIATOR WIND LLC,525.0,1.0,west
AVIL_ESS_RN,RN,30.904629,-102.915916,owner_name,1.0,Avila,160.0,,BRP AVILA BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,west
AZSP_SLR_RN,RN,33.001565,-99.61478,gridstatus,1.0,Azalea Springs Solar Park,180.0,AZALEA SPRINGS SOLAR,AZALEA SPRINGS SOLAR PARK LLC | EDP RENEWABLES NORTH AMERICA LLC,181.0,1.006,west
AZURE_RN,RN,32.998948,-99.5985,manual,1.0,,0.0,AZURE SKY SOLAR AND BESS,AZURE SKY SOLAR PROJECT LLC | ENEL TRADING NORTH AMERICA LLC,229.0,,west
AZ_ALL,OTHER,29.7028,-95.0718,owner_name,1.0,Exelon LaPorte Generating Station,236.0,AIRPRO,LAPORTE POWER LLC | EXGEN TEXAS POWER LLC,152.0,0.644,houston
BAC_RN_ALL,OTHER,29.49233,-94.98483,owner_name,1.0,Bacliff,427.20000000000005,PHR GT PEAKER PROJECT,PHR HOLDINGS LLC,390.0,0.913,houston
BAFFIN_ALL,OTHER,27.184652,-97.59818,station_description,1.0,Baffin Wind,188.0,BAFFIN WIND PROJECT,AVANGRID TEXAS RENEWABLES LLC | AVANGRID POWER LLC,202.0,1.074,south
BAIRDWND_ALL,OTHER,32.445499,-99.446761,manual,1.0,,0.0,BAIRD NORTH WIND,BMP WIND LLC,340.0,,west
BAKE_RN_ALL,OTHER,33.39167,-95.42519,owner_name,1.0,Mockingbird Solar Center,471.0,BAKER BRANCH SOLAR,MOCKINGBIRD SOLAR CENTER LLC,470.0,0.998,north
BARROW_ALL,OTHER,32.386,-102.949,owner_name,1.0,Jumbo Hill Wind Project,160.7,BARROW RANCH,JUMBO HILL WIND PROJECT LLC | ENGIE ENERGY MARKETING NA INC,161.0,1.002,west
BART_SLR_RN,RN,32.9157,-95.8119,manual,1.0,,0.0,,BARRETT SOLAR PROJECT LLC,0.0,,north
BASTEN_CC1,PCCRN,30.1458,-97.55,lmp_node_designation,1.0,Bastrop Energy Center,618.7,BASTROP ENERGY CENTER,BASTROP ENERGY PARTNERS LP | MPH MESQUITE LLC,618.0,0.999,south
BASTEN_CCU,OTHER,30.1458,-97.55,station_description,1.0,Bastrop Energy Center,618.7,BASTROP ENERGY CENTER,BASTROP ENERGY PARTNERS LP | MPH MESQUITE LLC,618.0,0.999,south
BATCAVE_RN,RN,30.737745,-99.231778,station_description,1.0,Bat Cave,100.0,BAT CAVE ENERGY STORAGE,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,101.0,1.01,south
BAYC_BESS_RN,RN,28.987572,-95.969842,fuzzy_name,1.0,SMT Bay City LLC,10.0,,SMT TX MANAGEMENT LLC,0.0,,south
BBREEZE_1_2,OTHER,26.522232000000002,-97.65541,gridstatus,1.0,Bruennings Breeze Wind Farm,228.0,BRUENNINGS BREEZE,BRUENNINGS BREEZE WIND FARM LLC | RWE CLEAN ENERGY LLC,228.0,1.0,south
BCATWD_WD_1,OTHER,33.493056,-98.581944,station_description,1.0,Bobcat Bluff Wind Project LLC,161.0,BOBCAT BLUFF,BOBCAT BLUFF WIND PROJECT LLC,162.0,1.006,west
BCH_RN,RN,29.227109,-95.430756,owner_name,1.0,Mark One Power Station,484.0,BEACHWOOD POWER STATION,MARK ONE GENERATING LLC | CPS ENERGY | MARK ONE II LLC,488.0,1.008,houston
BCK_RN,RN,29.33355,-95.82544,lmp_node_designation,1.0,Old 300 Solar Center LLC,430.0,BUFFALO CREEK,OLD 300 STORAGE CENTER LLC | OLD 300 SOLAR CENTER LLC,439.0,1.021,houston
BCNV2_ES_RN,RN,29.435422,-95.251104,owner_name,1.0,Bocanova Energy Storage,150.0,,BOCANOVA POWER II LLC,0.0,,houston
BCNV_RN,RN,29.435422,-95.251104,owner_name,1.0,Bocanova Energy Storage,150.0,,BOCANOVA POWER LLC,0.0,,houston
BELM_SLR_RN,RN,31.129313999999994,-97.260783,gridstatus,1.0,Big Elm Solar,200.0,BIG ELM SOLAR,BIG ELM SOLAR LLC | APEX CLEAN ENERGY HOLDINGS LLC,200.0,1.0,south
BEXAR_ES_RN,RN,29.4241,-98.4936,manual,1.0,,0.0,,BEXAR ESS LLC,0.0,,south
BIGSAMWD_RN,RN,30.923388,-101.869718,manual,1.0,,0.0,BIG SAMPSON WIND,BIG SAMPSON WIND PROJECT LLC | ENGIE ENERGY MARKETING NA INC,266.0,,west
BIGSTAR_ALL,OTHER,29.894053,-97.270537,station_description,1.0,Big Star Solar LLC (Hybrid),200.0,BIG STAR SOLAR,BIG STAR SOLAR LLC | RWE CLEAN ENERGY LLC,203.0,1.015,south
BIRD_ESR1,OTHER,28.1579,-97.8621,manual,1.0,TX10 Hummingbird Storage,100.0,,VESI 37 LLC,0.0,,south
BKSL_RN,RN,33.781511,-100.877503,owner_name,1.0,Burksol Energy Storage,100.0,,BURKSOL LLC,0.0,,west
BLACKJAK_RN,RN,28.2078,-97.522673,station_description,1.0,Blackjack Creek Wind Farm,239.6,BLACKJACK CREEK WIND FARM,BLACKJACK CREEK WIND FARM LLC | RWE CLEAN ENERGY LLC,240.0,1.002,south
BLACKSPR_RN,RN,32.933942,-98.146594,manual,1.0,,0.0,BLACK SPRINGS BESS,BLACK SPRINGS BESS LLC,121.0,,north
BLSMT1_5_A_6,OTHER,34.170488000000006,-99.56344,gridstatus,1.0,Blue Summit Wind LLC,135.4,BLUE SUMMIT 3 | BLUE SUMMIT,BLUE SUMMIT III WIND LLC | NEXTERA ENERGY RESOURCES LLC | BLUE SUMMIT WIND LLC | BLUE SUMMIT STORAGE LLC | BLUE SUMMIT II STORAGE LLC | BLUE SUMMIT II WIND LLC,441.0,3.257,west
BLUEJAY_RN,RN,30.7115,-96.0641,manual,1.0,,0.0,BLUE JAY SOLAR AND BESS,BLUE JAY SOLAR I LLC | ENEL TRADING NORTH AMERICA LLC,210.0,,north
BLVN_RN,RN,31.223785,-97.206357,manual,1.0,,0.0,BLEVINS SOLAR AND STORAGE,BLEVINS STORAGE LLC | SHELL ENERGY NORTH AMERICA (US) LP | BLEVINS SOLAR LLC,272.0,,north
BOARDCRK_ALL,OTHER,31.85346,-96.624458,owner_name,1.0,Limestone Wind Project,299.2,BOARD CREEK WIND,LIMESTONE WIND PROJECT LLC | ENGIE ENERGY MARKETING NA INC,299.0,0.999,north
BOCO_ESS_RN,RN,32.72233,-101.638499,owner_name,1.0,Borden County BESS,150.0,,BORDEN COUNTY BATTERY ENERGY STORAGE SYSTEM LLC,0.0,,west
BOOTLEG_UN1,OTHER,31.000883,-102.281744,station_description,1.0,East Pecos Solar,118.5,EAST PECOS SOLAR,EAST PECOS SOLAR LLC,126.0,1.063,west
BORDAS_345,OTHER,27.32,-99.0,station_description,1.0,Javelina Wind Energy LLC,249.7,JAVELINA WIND ENERGY PROJECT | JAVELINA WIND ENERGY PROJECT 2,JAVELINA WIND ENERGY LLC | JAVELINA WIND ENERGY II LLC | JAVELINA WIND ENERGY II LLC B | SOUTH TEXAS ELECTRIC CO OP INC,450.0,1.802,south
BOSQUESW_CC1,PCCRN,31.8594,-97.3586,lmp_node_designation,1.0,Thad Hill Energy Center,807.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,north
BOSQUESW_CC2,PCCRN,31.8594,-97.3586,lmp_node_designation,1.0,Thad Hill Energy Center,807.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,north
BOSQ_BSQSU_5,OTHER,31.8594,-97.3586,fuzzy_lmp,1.0,Thad Hill Energy Center,807.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,north
