settlement_point,sp_type,lat,lon,match_method,match_confidence,matched_plant,matched_capacity_mw,station_description,owner_re,expected_mw,capacity_ratio,load_zone
BYU_BYU_12,OTHER,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_BYU_34,OTHER,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_CC1,PCCRN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_G4_RN,RN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_PUN1,PUN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_PUN2,PUN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_PUN3,PUN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
BYU_PUN4,PUN,29.626364,-95.046569,manual,1.0,,0.0,,AIR LIQUIDE LARGE INDUSTRIES US LP,0.0,,houston
B_DAVIS_3,OTHER,27.6064,-97.3117,station_description,1.0,Barney M Davis,1082.2,BARNEY DAVIS,CPS ENERGY,190.0,0.176,south
B_DAVIS_4,OTHER,27.6064,-97.3117,station_description,1.0,Barney M Davis,1082.2,BARNEY DAVIS,CPS ENERGY,190.0,0.176,south
B_DAVIS_CC1,PCCRN,27.6064,-97.3117,manual,1.0,Barney M Davis,0.0,,CPS ENERGY,0.0,,south
B_D_B_DAVIG1,OTHER,27.6064,-97.3117,station_description,1.0,Barney M Davis,1082.2,BARNEY DAVIS,CPS ENERGY,353.0,0.326,south
B_D_B_DAVIG2,OTHER,27.6064,-97.3117,station_description,1.0,Barney M Davis,1082.2,BARNEY DAVIS,CPS ENERGY,351.0,0.324,south
CABEZON_ALL,OTHER,26.649,-99.0387,owner_name,1.0,Rio Bravo Windpower LLC,237.6,CABEZON,RIO BRAVO WINDPOWER LLC,237.0,0.997,south
CACH_ESS_RN,RN,29.65313,-98.015155,owner_name,1.0,Cachi,200.0,,BRP CACHI BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
CALAVER_JKS1,OTHER,29.309722,-98.3203,lmp_node_designation,1.0,J K Spruce,1488.5,CALAVERAS,CPS ENERGY,555.0,0.373,south
CALAVER_JKS2,OTHER,29.309722,-98.3203,lmp_node_designation,1.0,J K Spruce,1488.5,CALAVERAS,CPS ENERGY,922.0,0.619,south
CALAVER_JTD1,OTHER,29.309722,-98.3203,manual,1.0,J K Spruce,0.0,,,0.0,,south
CALAVER_JTD2,OTHER,29.309722,-98.3203,manual,1.0,J K Spruce,0.0,,,0.0,,south
CALAVER_OWS1,OTHER,29.308056,-98.3242,lmp_node_designation,1.0,O W Sommers,892.0,CALAVERAS,CPS ENERGY,445.0,0.499,south
CALAVER_OWS2,OTHER,29.308056,-98.3242,lmp_node_designation,1.0,O W Sommers,892.0,CALAVERAS,CPS ENERGY,435.0,0.488,south
CALHOUN_ALL,OTHER,28.64807,-96.54621,lmp_node_designation,1.0,Calhoun Port Comfort,121.0,CALHOUN SUBSTATION,PORT COMFORT POWER LLC | NRG TEXAS POWER LLC,122.0,1.008,south
CALLAHA_WND1,OTHER,32.3005,-99.97402,gridstatus,1.0,Callahan Divide Wind Energy Center,114.0,CALLAHAN WINDFARM FPL,CALLAHAN WIND DIVIDE LLC | NEXTERA ENERGY RESOURCES LLC,123.0,1.079,west
CAL_CALGT1,OTHER,29.726442,-95.175854,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CAL_CALSTG1,OTHER,29.726442,-95.175854,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CAL_CC1,PCCRN,29.726442,-95.175854,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CAL_PUN1,PUN,29.725119,-95.175758,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CAL_PUN2,PUN,29.725119,-95.175758,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CAMWIND_RN,RN,26.195278,-97.466111,manual,1.0,Cameron Wind 1 LLC,181.4,CAMERON WINDFARM,CAMERON WIND I LLC,165.0,0.91,south
CANYONWD_ALL,OTHER,32.631073,-101.008494,manual,1.0,Canyon Wind Project LLC,308.8,CANYON WIND,CANYON WIND ENERGY LLC | NEXTERA ENERGY RESOURCES LLC,310.0,1.004,west
CAPRIDG4_CR4,OTHER,31.888,-100.825,owner_name,1.0,Bluebell Solar II,115.0,CAPRICORN RIDGE 4,BLUEBELL SOLAR II LLC | NEXTERA ENERGY RESOURCES LLC | BLUEBELL SOLAR LLC | CAP RIDGE WIND IV LLC,267.0,2.322,west
CAPRIDGE_ALL,OTHER,31.951958,-101.018936,station_description,1.0,Capricorn Ridge Wind LLC,662.5,CAPRICORN RIDGE,CAP RIDGE WIND I LLC | NEXTERA ENERGY RESOURCES LLC | CAP RIDGE WIND II LLC | CAP RIDGE WIND III LLC,583.0,0.88,west
CARA_ESS_RN,RN,26.248591,-98.238742,manual,1.0,,0.0,,SMT MCALLEN II LLC | HEI8 LLC,0.0,,south
CARBN_BSP_1,OTHER,32.28109,-101.408964,manual,1.0,Carina,0.0,,TOKAI CARBON CB LTD,0.0,,west
CARN_ESS_RN,RN,27.81922,-97.535461,owner_name,1.0,Carina,150.0,,BRP CARINA BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,south
CARRIZO_ESR1,OTHER,28.517736,-99.833779,station_description,1.0,Regis Carrizo Springs,9.9,CARRIZO  SPRINGS,REGIS CARRIZO SPRINGS LLC,10.0,1.01,south
CARTWHL_RN,RN,33.091192,-95.615097,station_description,1.0,Cartwheel 1 - Storage LLC,300.0,CARTWHEEL BESS,CARTWHEEL BESS LLC | RWE CLEAN ENERGY LLC,154.0,0.513,north
CASL_GAP_UN1,OTHER,31.254999999999995,-102.272,gridstatus,1.0,Upton County Solar,150.0,CASTLE GAP,UPTON COUNTY SOLAR 2 LLC | LUMINANT ENERGY COMPANY LLC,180.0,1.2,west
CAST_ESS_RN,RN,29.150016,-95.650798,manual,1.0,,0.0,,BRP CASTOR BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
CATARINA_B1,OTHER,28.34705,-99.673703,manual,1.0,Caterina,9.9,CATARINA,HEN INFRASTRUCTURE LLC,10.0,1.01,south
CBECII_89,OTHER,29.2878,-96.0683,station_description,1.0,Colorado Bend Energy Center,654.1,COLORADO BEND II,COLORADO BEND II POWER LLC | CONSTELLATION ENERGY GENERATION LLC,870.0,1.33,south
CBECII_CC3,PCCRN,29.289415,-96.065399,station_description,1.0,Colorado Bend II,1230.3,COLORADO BEND II,COLORADO BEND II POWER LLC | CONSTELLATION ENERGY GENERATION LLC,1231.0,1.001,south
CBECII_CT7,OTHER,29.2878,-96.0683,station_description,1.0,Colorado Bend Energy Center,654.1,COLORADO BEND II,COLORADO BEND II POWER LLC | CONSTELLATION ENERGY GENERATION LLC,361.0,0.552,south
CBEC_ALL,OTHER,29.2878,-96.0683,station_description,1.0,Colorado Bend Energy Center,654.1,COLORADO BEND ENERGY CENTER,COLORADO BEND I POWER LLC | EXGEN TEXAS POWER LLC,646.0,0.988,south
CBEC_CC1,PCCRN,29.2878,-96.0683,lmp_node_designation,1.0,Colorado Bend Energy Center,654.1,COLORADO BEND ENERGY CENTER,COLORADO BEND I POWER LLC | EXGEN TEXAS POWER LLC,646.0,0.988,south
CBEC_CC2,PCCRN,29.2878,-96.0683,lmp_node_designation,1.0,Colorado Bend Energy Center,654.1,COLORADO BEND ENERGY CENTER,COLORADO BEND I POWER LLC | EXGEN TEXAS POWER LLC,646.0,0.988,south
CBY4_ALL,OTHER,29.751645,-94.92312,owner_name,1.0,Cedar Bayou 4,535.5,CEDAR BAYOU 4,NRG CEDAR BAYOU DEVELOPMENT COMPANY LLC | NRG TEXAS POWER LLC,615.0,1.148,houston
CBY4_CC1,PCCRN,29.751645,-94.92312,lmp_node_designation,1.0,Cedar Bayou 4,535.5,CEDAR BAYOU 4,NRG CEDAR BAYOU DEVELOPMENT COMPANY LLC | NRG TEXAS POWER LLC,615.0,1.148,houston
CBY_CBY_G1,OTHER,29.75,-94.9256,lmp_node_designation,1.0,Cedar Bayou,1530.0,CEDAR BAYOU PLANT,NRG TEXAS POWER LLC,765.0,0.5,houston
CBY_CBY_G2,OTHER,29.75,-94.9256,lmp_node_designation,1.0,Cedar Bayou,1530.0,CEDAR BAYOU PLANT,NRG TEXAS POWER LLC,765.0,0.5,houston
CCEC_CC1,PCCRN,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CCEC_GT1,OTHER,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CCEC_GT2,OTHER,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CCEC_PUN1,PUN,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CCEC_PUN2,PUN,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CCEC_ST1,OTHER,27.8139,-97.4283,fuzzy_lmp,1.0,Corpus Christi Energy Center,593.3,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,south
CDRVLE_U1_RN,RN,29.40107,-100.91566,manual,1.0,,0.0,,CONDUIT QSE LLC 1,0.0,,west
CEDROHI_CHW1,OTHER,27.576111,-98.905278,station_description,1.0,Cedro Hill Wind LLC,300.0,CEDRO HILL WIND FARM,CEDRO HILL WIND LLC | CPS ENERGY,157.0,0.523,south
CEDRVALE_RN,RN,31.514106,-103.4524,manual,1.0,,0.0,CEDARVALE SUB TNP,HEN INFRASTRUCTURE LLC,10.0,,west
CFLATS_UNIT,OTHER,31.112474,-100.028142,owner_name,1.0,Cactus Flats Wind Energy Project,148.4,CFLATS SUBSTATION,SP CACTUS FLATS WIND ENERGY LLC,148.0,0.997,west
CFLAT_ES_RN,RN,26.205799,-97.663635,manual,1.0,,0.0,,CITRUS FLATTS ENERGY CENTER LLC,0.0,,south
CHALUP_ALL,OTHER,26.249888,-97.511842,station_description,1.0,La Chalupa LLC,198.5,CHALUPA WIND,LA CHALUPA LLC | ACCIONA ENERGY USA GLOBAL LLC,198.0,0.997,south
CHAL_SLR_RN,RN,31.815992,-104.085297,owner_name,1.0,Hayhurst Texas Solar,24.8,,HAYHURST TEXAS SOLAR LLC,0.0,,west
CHAMON_UN1,OTHER,29.883214,-95.111345,lmp_node_designation,1.0,Chamon,121.0,CHAMON POWER,CHAMON POWER LLC | NRG TEXAS POWER LLC,61.0,0.504,houston
CHAMON_UN2,OTHER,29.883214,-95.111345,lmp_node_designation,1.0,Chamon,121.0,CHAMON POWER,CHAMON POWER LLC | NRG TEXAS POWER LLC,61.0,0.504,houston
CHAR_SLR_RN,RN,28.4668,-97.1053,manual,1.0,,0.0,,AP SOLAR 4 LLC,0.0,,south
CHEDPW_GT2,OTHER,29.7189,-95.2319,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHE_CC1,PCCRN,29.7189,-95.2319,lmp_node_designation,1.0,Channel Energy Center LLC,923.8,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHE_LYD,OTHER,29.745671,-95.230947,gridstatus,1.0,Channel Energy Center LLC,923.8,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHE_LYD2,OTHER,29.745671,-95.230947,gridstatus,1.0,Channel Energy Center LLC,923.8,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHE_PUN1,PUN,29.745671,-95.230947,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHE_PUN2,PUN,29.745671,-95.230947,manual,1.0,,0.0,,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,0.0,,houston
CHIL_SLR,OTHER,31.006,-97.262,manual,1.0,,0.0,CHILLINGHAM SOLAR,CHILLINGHAM STORAGE LLC | ENGIE ENERGY MARKETING NA INC | CHILLINGHAM SOLAR LLC,352.0,,south
CHISMGRD_RN,RN,32.904444,-97.386111,station_description,1.0,Chisholm Grid Energy Storage System,100.0,CHISHOLM GRID,,102.0,1.02,north
CISC_RN,RN,32.391533,-98.978156,station_description,1.0,CISCO BESS,9.9,CISCO,HEN INFRASTRUCTURE LLC 1,10.0,1.01,west
CITRUSCY_RN,RN,26.32162,-98.35149,station_description,1.0,Citrus City BESS,9.9,CITRUS CITY,SBESS TX 10 LLC | SBESS TX10 LLC,10.0,1.01,south
CITYVICT_ALL,OTHER,28.7853,-97.0093,station_description,1.0,Tres City Power LLC,100.0,TRES CITY,TRES CITY POWER LLC,122.0,1.22,south
CLO_RN,RN,29.646811,-95.450539,station_description,1.0,Callisto I Energy Center,223.4,CALLISTO I ENERGY CENTER,CALLISTO I ENERGY CENTER LLC | MERCURIA ENERGY AMERICA LLC | CALLISTO I ENERGY CENTER LLC 1 | PAMELA HEIGHTS I ENERGY CENTER LLC | NRG TEXAS POWER LLC,204.0,0.913,houston
CLT_RN,RN,29.646811,-95.450539,manual,1.0,Callisto I Energy Center,223.4,,CALLISTO II ENERGY CENTER LLC | NRG TEXAS POWER LLC,0.0,,houston
CMPD_SLR_RN,RN,32.139206,-97.059551,manual,1.0,,0.0,COMPADRE SOLAR,HILL SOLAR I LLC | TOTALENERGIES RENEWABLES USA LLC | HILL SOLAR II LLC,406.0,,north
CNLY_ESS_RN,RN,33.210732,-97.418986,lmp_node_designation,1.0,Connolly BESS,125.0,,BT CONNOLLY STORAGE LLC,0.0,,north
CNTRY_RN,RN,32.68657,-97.083253,station_description,1.0,Century BESS,10.0,CENTURY,ESTX PLD GRANDPRAIRIE1 LLC,10.0,1.0,north
CNTYRDS_RN,RN,31.399936,-103.492542,manual,1.0,,0.0,COUNTY RD SUB TNP,COUNTY RD INFRA LLC,10.0,,west
CN_BRKS_UNT1,OTHER,35.200164,-102.315517,owner_name,1.0,Canadian Breaks LLC,210.1,,CANADIAN BREAKS LLC,0.0,,west
COL_COLETOG1,OTHER,28.7128,-97.2144,manual,1.0,,0.0,COLETO CREEK,COLETO CREEK POWER LLC | LUMINANT ENERGY COMPANY LLC,650.0,,south
CONIGLIO_RN,RN,33.404486,-96.082472,station_description,1.0,Coniglio Solar,123.6,CONIGLIO SOLAR,BT CONIGLIO SOLAR LLC,126.0,1.019,north
CONTINEN_RN,RN,26.514848,-98.609398,station_description,1.0,Regis Continental,9.9,CONTINENTAL,REGIS CONTINENTAL LLC,10.0,1.01,south
CORALSLR_ALL,OTHER,31.462985000000003,-96.859473,gridstatus,1.0,Copperhead Solar LLC,250.0,CORAL SOLAR AND STORAGE,COPPERHEAD SOLAR LLC,154.0,0.616,north
CORAZON_RN,RN,27.634677,-99.258329,station_description,1.0,Corazon Energy LLC,200.0,CORAZON SOLAR AND STORAGE,GUAJILLO ENERGY STORAGE LLC | CORAZON ENERGY LLC,203.0,1.015,south
COTPLNS_RN,RN,34.060333,-101.187628,lmp_node_designation,1.0,Cotton Plains Wind Farm,50.4,,COTTON PLAINS WIND I LLC | OLD SETTLER WIND LLC,0.0,,west
COTTON_PAP2,OTHER,27.9958,-97.2967,lmp_node_designation,1.0,Papalote Creek II LLC,200.1,PAPALOTE CREEK II,PAPALOTE CREEK II LLC | RWE CLEAN ENERGY LLC,200.0,1.0,south
COTULLA_RN,RN,28.46077,-99.251137,manual,1.0,,0.0,COTULLA,MEP COTULLA BESS LLC | SBESS TX19 LLC,10.0,,south
COYANOSA_RN,RN,31.260451,-102.94154,manual,1.0,,0.0,,CONDUIT QSE LLC 1,0.0,,west
COYOTSPR_AGR,OTHER,31.39471,-103.6303,manual,1.0,,0.0,COYOTE SPRING TNP,HEN INFRASTRUCTURE LLC 1,10.0,,west
COYOTSPR_RN,RN,31.39471,-103.6303,manual,1.0,,0.0,COYOTE SPRING TNP,HEN INFRASTRUCTURE LLC,20.0,,west
CPSES_UNIT1,OTHER,32.298365,-97.785515,station_description,1.0,Comanche Peak,2430.0,COMANCHE PEAK SES,COMANCHE PEAK POWER COMPANY LLC | LUMINANT ENERGY COMPANY LLC,1269.0,0.522,north
CPSES_UNIT2,OTHER,32.298365,-97.785515,station_description,1.0,Comanche Peak,2430.0,COMANCHE PEAK SES,COMANCHE PEAK POWER COMPANY LLC | LUMINANT ENERGY COMPANY LLC,1269.0,0.522,north
CRANELL_ALL,OTHER,28.197778,-97.444953,station_description,1.0,Cranell Wind Farm LLC,220.0,CRANELL WIND,CRANELL WIND FARM LLC | RWE CLEAN ENERGY LLC,220.0,1.0,south
CRAWFISH_RN,RN,29.120000000000005,-96.107859,gridstatus,1.0,Prairie Switch Wind LLC,163.2,CRAWFISH WIND,PRAIRIE SWITCH WIND LLC | TYR ENERGY LLC,163.0,0.999,south
CROSSETT_ALL,OTHER,31.191687,-102.317227,station_description,1.0,Crossett Power Management LLC,203.0,CROSSETT POWER,CROSSETT POWER MANAGEMENT LLC 1 | HATCH EQ I LLC | CROSSETT POWER MANAGEMENT LLC,204.0,1.005,west
CROSSTRL_RN,RN,32.745,-100.757,station_description,1.0,Cross Trails Energy Storage Project,58.3,CROSS TRAILS STORAGE,CROSS TRAILS ENERGY STORAGE PROJECT LLC | GRIDMATIC EQUISETUM LLC,58.0,0.995,west
CRWN_SLR_UN1,OTHER,31.346717,-97.082774,station_description,1.0,BPL Crown Solar LLC,100.0,CROWN SOLAR,BPL CROWN SOLAR LLC | UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC,101.0,1.01,north
CR_RN,RN,29.77682,-95.37989,station_description,1.0,Crockett BESS,10.0,CROCKETT,ESTX PLD HOUSTON1 LLC,10.0,1.0,houston
CSC_CSECG1_2,OTHER,32.745614,-100.757487,gridstatus,1.0,Scurry County Wind LP,130.5,CAMP SPRINGS ENERGY CENTER,SCURRY COUNTY WIND LP | INVENERGY WIND DEVELOPMENT LLC | SCURRY COUNTY WIND II LLC,258.0,1.977,west
CST1_SLR_RN,RN,32.7812,-100.0065,manual,1.0,,0.0,,JONES CITY SOLAR LLC,0.0,,west
CST2_SLR_RN,RN,32.7949,-99.9929,manual,1.0,,0.0,,JONES CITY SOLAR II LLC,0.0,,west
CS_RN,RN,29.872984,-95.016033,lmp_node_designation,1.0,Crosby Clean Energy Center (BESS),12.0,CROSBY,CROSBY CLEAN ENERGY CENTER LLC,10.0,0.833,houston
CTW_RN,RN,29.259805,-95.270415,manual,1.0,,0.0,COTTONWOOD BAYOU SOLAR,COTTONWOOD BAYOU STORAGE LLC | TOTALENERGIES RENEWABLES USA LLC | COTTONWOOD BAYOU SOLAR LLC,352.0,,houston
CVC_CC1,PCCRN,29.836952,-95.121744,lmp_node_designation,1.0,Channelview Cogeneration Plant,918.3,CHANNELVIEW COGEN,EIF CHANNELVIEW COGENERATION LLC,726.0,0.791,houston
CVC_CVCG1_5,OTHER,29.836952,-95.121744,owner_name,1.0,Channelview Cogeneration Plant,918.3,CHANNELVIEW COGEN,EIF CHANNELVIEW COGENERATION LLC,342.0,0.372,houston
CVC_CVC_G2,OTHER,29.836952,-95.121744,owner_name,1.0,Channelview Cogeneration Plant,918.3,CHANNELVIEW COGEN,EIF CHANNELVIEW COGENERATION LLC,192.0,0.209,houston
CVC_CVC_G3,OTHER,29.836952,-95.121744,owner_name,1.0,Channelview Cogeneration Plant,918.3,CHANNELVIEW COGEN,EIF CHANNELVIEW COGENERATION LLC,192.0,0.209,houston
DAG_ALL,OTHER,29.1779,-95.7612,lmp_node_designation,1.0,Brazoria County Solar Project (Danciger),200.0,DANCIGER SOLAR,BRAZORIA COUNTY SOLAR PROJECT LLC,202.0,1.01,houston
DANSBY_ALL,OTHER,30.7217,-96.4608,station_description,1.0,Dansby,203.2,BRYN_DANSBY,BRYAN TEXAS UTILITIES,218.0,1.073,north
DAN_ALL,OTHER,28.9161,-96.3842,manual,1.0,,0.0,DANISH FIELDS,DANISH FIELDS STORAGE LLC | TOTALENERGIES RENEWABLES USA LLC | DANISH FIELDS SOLAR LLC,603.0,,south
DA_BESS,OTHER,29.291607,-95.729112,manual,1.0,,0.0,DAMON,BACCHARIS STORAGE LLC,15.0,,houston
DA_BESS2,OTHER,29.291607,-95.729112,manual,1.0,,0.0,DAMON,IEP TEJAS VERDE LLC | BARBAR STORAGE LLC,15.0,,houston
DC2SES_ALL,OTHER,32.403056,-97.700556,manual,1.0,Mountain Creek,0.0,DECORDOVA SES,LUMINANT GENERATION COMPANY LLC | LUMINANT ENERGY COMPANY LLC | DECORDOVA BESS LLC,356.0,,north
DDPEC_CC1,PCCRN,29.713414,-95.134508,lmp_node_designation,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,1234.0,1.049,houston
DDPEC_GT1,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,190.0,0.162,houston
DDPEC_GT2,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,190.0,0.162,houston
DDPEC_GT3,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,190.0,0.162,houston
DDPEC_GT4,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,190.0,0.162,houston
DDPEC_GT6,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,199.0,0.169,houston
DDPEC_ST1,OTHER,29.713414,-95.134508,station_description,1.0,Deer Park Energy Center,1176.0,DEER PARK ENERGY CENTER,CALPINE LLC | CALPINE POWER MANAGEMENT LLC,275.0,0.234,houston
DECKER_GT,OTHER,30.3033,-97.6128,station_description,1.0,Decker Creek,206.0,DECKER POWER PLANT,CITY OF AUSTIN DBA AUSTIN ENERGY,228.0,1.107,south
DENISON_G1_2,OTHER,33.8181,-96.5692,station_description,1.0,Denison,104.3,DENISON DAM,DENISON DAM,102.0,0.978,north
DERMOTT_ALL,OTHER,32.848789999999994,-100.8665,gridstatus,1.0,Dermott Wind,253.0,COYOTE WIND | DERMOTT WIND,COYOTE WIND LLC | EDF RENEWABLES INC | DERMOTT WIND LLC,497.0,1.964,west
DESN_ESS_RN,RN,29.886901,-95.021244,manual,1.0,Hidden Lakes Reliability Project,0.0,,BRP DESNA BESS LLC | ENGIE ENERGY MARKETING NA INC,0.0,,houston
DGFS_ESR_RN,RN,30.918661,-102.85002,owner_name,1.0,Dogfish BESS,75.0,,DOGFISH ESS ASSETS LLC,0.0,,west
DIBOL_RN,RN,31.193794,-94.798183,station_description,1.0,Diboll BESS,9.9,DIBOLL,HEN INFRASTRUCTURE LLC 1,10.0,1.01,north
DIB_CC1,PCCRN,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_DIB_G1,OTHER,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_DIB_G2,OTHER,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_DIB_G3,OTHER,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_DIB_G4,OTHER,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_PUN1,PUN,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DIB_PUN2,PUN,29.7314,-95.0839,owner_name,1.0,Houston Chemical Complex Battleground,380.70000000000005,,OXY VINYLS LP,0.0,,houston
DILEOS_UNIT1,OTHER,31.78,-97.51,lmp_node_designation,1.0,Dileo Solar,71.4,DILEO SOLAR,ELAWAN DILEO SOLAR LLC,71.0,0.994,north
DIVR_SLR_RN,RN,31.417564999999996,-96.646951,gridstatus,1.0,Diver Solar LLC,225.0,DIVER SOLAR,DIVER SOLAR LLC | NEXTERA ENERGY RESOURCES LLC,226.0,1.004,north
DKNS_ESS_RN,RN,33.77846,-100.87678,manual,1.0,,0.0,,BRP INTERMEDIATECO I LLC | ENGIE ENERGY MARKETING NA INC,0.0,,west
DMA_RN,RN,29.1705,-95.7415,manual,1.0,,0.0,DAMAZO SOLAR,TX GULF SOLAR 1 LLC,100.0,,houston
DORA_SLR_RN,RN,32.41748,-99.158576,manual,1.0,,0.0,,ENBRIDGE SOLAR SEQUOIA I LLC,0.0,,west
DOWGEN_PUN1,PUN,28.986630000000005,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOWGEN_PUN2,PUN,28.986630000000005,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOWGEN_PUN3,PUN,28.986630000000005,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOWGEN_PUN4,PUN,28.986639999999994,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOWGEN_PUN5,PUN,28.986649999999997,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOWGEN_PUN6,PUN,28.98666,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC | THE DOW CHEMICAL CO,0.0,,houston
DOW_61_2_63,OTHER,28.986630000000005,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC,0.0,,houston
DOW_64,OTHER,28.9928,-95.3656,manual,1.0,,0.0,,,0.0,,houston
DOW_81_2_84,OTHER,28.986630000000005,-95.35819,gridstatus,1.0,Sabine River Operations,594.9,,THE DOW CHEMICAL CO,0.0,,houston
DOW_G37_G35,OTHER,28.9928,-95.3656,manual,1.0,,0.0,,,0.0,,houston
DOW_G66_ST65,OTHER,28.986630000000005,-95.35819,gridstatus,1.0,Freeport Energy,613.3,,BLUE CUBE OPERATIONS LLC,0.0,,houston
