"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"LANE CITY WIND LLC (RE)","MAG_UNIT1","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"LANE CITY WIND LLC (RE)","MAG_UNIT2","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"LANGFORD WIND POWER LLC (RE)","LGD_LANGFORD","Generation","Not Applicable","BOSTON ENERGY TRADING AND MARKETING LLC (DME)","0748829577100","N"
"LAPETUS ENERGY PROJECT LLC (RE)","LAPETUS_UNIT_1","Generation","Not Applicable","LAPETUS ENERGY PROJECT LLC (DME)","1171120907000","N"
"LAPORTE POWER LLC (RE)","AZ_AZ_G1","Generation","Not Applicable","EXGEN TEXAS POWER LLC (DME)","0794357437000","N"
"LAPORTE POWER LLC (RE)","AZ_AZ_G2","Generation","Not Applicable","EXGEN TEXAS POWER LLC (DME)","0794357437000","N"
"LAPORTE POWER LLC (RE)","AZ_AZ_G3","Generation","Not Applicable","EXGEN TEXAS POWER LLC (DME)","0794357437000","N"
"LAPORTE POWER LLC (RE)","AZ_AZ_G4","Generation","Not Applicable","EXGEN TEXAS POWER LLC (DME)","0794357437000","N"
"LAS LOMAS WIND PROJECT LLC (RE)","VENADO_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LAS LOMAS WIND PROJECT LLC (RE)","VENADO_UNIT2","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LAS MAJADAS WIND FARM LLC (RE)","LMAJADAS_UNIT1","Generation","Not Applicable","EDF RENEWABLES INC (DME)","3302439437000","N"
"LAS MAJADAS WIND FARM LLC (RE)","LMAJADAS_UNIT2","Generation","Not Applicable","EDF RENEWABLES INC (DME)","3302439437000","N"
"LAS MAJADAS WIND FARM LLC (RE)","LMAJADAS_UNIT3","Generation","Not Applicable","EDF RENEWABLES INC (DME)","3302439437000","N"
"LIBERTY 1 SOLAR LLC (RE)","ADL_ESR1","Storage","Not Applicable","LIBERTY 1 SOLAR LLC (DME)","1117379547000","N"
"LIBERTY 1 SOLAR LLC (RE)","ADL_SOLAR1","Generation","Not Applicable","LIBERTY 1 SOLAR LLC (DME)","1117379547000","N"
"LIBRA STORAGE LLC (RE)","LBRA_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC SQ48 (DME)","9689097397500","N"
"LILY SOLAR LLC (RE)","LILY_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"LILY SOLAR LLC (RE)","LILY_SOLAR1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"LIMESTONE WIND PROJECT LLC (RE)","BOARDCRK_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LIMESTONE WIND PROJECT LLC (RE)","BOARDCRK_UNIT2","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LIMEWOOD BELL RENEWABLES LLC (RE)","LMWD_SLR_SOLAR1","Generation","Not Applicable","LIMEWOOD BELL RENEWABLES LLC (DME)","1193637417000","N"
"LIVE OAK WIND PROJECT LLC (RE)","WL_RANCH_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LOCKETT WINDFARM LLC (RE)","LOCKETT_UNIT1","Generation","Not Applicable","ORSTED ONSHORE NORTH AMERICA LLC (DME)","0802191967000","N"
"LOGANS GAP WIND LLC (RE)","LGW_UNIT1","Generation","Not Applicable","LOGANS GAP WIND LLC (DME)","0792529647000","N"
"LOGANS GAP WIND LLC (RE)","LGW_UNIT2","Generation","Not Applicable","LOGANS GAP WIND LLC (DME)","0792529647000","N"
"LONG POINT SOLAR LLC (RE)","LNP_SOLAR1","Generation","Not Applicable","LONG POINT SOLAR LLC (DME)","1194869117000","N"
"LONGBOW BESS LLC (RE)","LON_ESR1","Storage","Not Applicable","LONGBOW BESS LLC (DME)","1263158277000","N"
"LONGBOW SOLAR LLC (RE)","LON_SOLAR1","Generation","Not Applicable","LONGBOW SOLAR LLC (DME)","1224994757000","N"
"LONGHORN STORAGE LLC (RE)","SHEEPCRK_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"LONGHORN WIND PROJECT LLC (RE)","LHORN_N_UNIT1","Generation","Not Applicable","CONSTELLATION ENERGY GENERATION LLC (DME)","9604589587000","N"
"LONGHORN WIND PROJECT LLC (RE)","LHORN_N_UNIT2","Generation","Not Applicable","CONSTELLATION ENERGY GENERATION LLC (DME)","9604589587000","N"
"LORAINE WINDPARK PROJECT LLC (RE)","LONEWOLF_G1","Generation","Not Applicable","LORAINE WINDPARK PROJECT LLC (DME)","8317486087000","N"
"LORAINE WINDPARK PROJECT LLC (RE)","LONEWOLF_G2","Generation","Not Applicable","LORAINE WINDPARK PROJECT LLC (DME)","8317486087000","N"
