"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"1370 SHANNON LLC (RE)","SHANNONW_UNIT_1","Generation","Not Applicable","1370 SHANNON LLC (DME)","1450336317000","N"
"224WB 8ME LLC (RE)","GALLOWAY_SOLAR2","Generation","Not Applicable","224WB 8ME LLC (DME)","0815527087000","N"
"225DD 8ME LLC (RE)","GALLOWAY_SOLAR1","Generation","Not Applicable","225DD 8ME LLC (DME)","0815490207000","N"
"226HC 8ME LLC (RE)","HOLSTEIN_SOLAR1","Generation","Not Applicable","226HC 8ME LLC (DME)","1169540657000","N"
"226HC 8ME LLC (RE)","HOLSTEIN_SOLAR2","Generation","Not Applicable","226HC 8ME LLC (DME)","1169540657000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_ESR1","Storage","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_PV1","Generation","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"2W PERMIAN SOLAR LLC (RE)","EUNICE_PV2","Generation","Not Applicable","2W PERMIAN SOLAR LLC (DME)","1170617507000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT1","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT2","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"7V SOLAR RANCH LLC (RE)","7RNCHSLR_UNIT3","Generation","Not Applicable","7V SOLAR RANCH LLC (DME)","1176732687000","N"
"ABLES SPRINGS SOLAR LLC (RE)","ELZA_SLR_SOLAR1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"ABLES SPRINGS STORAGE LLC (RE)","ELZA_SLR_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AE TELVIEW ESS LLC (RE)","TV_ESR1","Storage","Not Applicable","AE TELVIEW ESS LLC (DME)","1189455027000","N"
"AGGREKO MSR GRID PC2 LLC (RE)","LANTANA_ESR1","Storage","Not Applicable","AGGREKO MSR GRID PC2 LLC (DME)","1193710767000","N"
"AGGREKO MSR GRID PC5 LLC (RE)","E_HARRIS_ESR1","Storage","Not Applicable","AGGREKO MSR GRID PC5 LLC (DME)","1193710897000","N"
"AGGREKO MSR GRID PC7 LLC (RE)","OLMITO_ESR1","Storage","Not Applicable","AGGREKO MSR GRID PC7 LLC (DME)","1193801617000","N"
"AIR LIQUIDE LARGE INDUSTRIES US LP (RE)","BYU_BYU_G1","Generation","Not Applicable","AIR LIQUIDE LARGE INDUSTRIES US LP (DME)","1800150627000","N"
"AIR LIQUIDE LARGE INDUSTRIES US LP (RE)","BYU_BYU_G2","Generation","Not Applicable","AIR LIQUIDE LARGE INDUSTRIES US LP (DME)","1800150627000","N"
"AIR LIQUIDE LARGE INDUSTRIES US LP (RE)","BYU_BYU_G3","Generation","Not Applicable","AIR LIQUIDE LARGE INDUSTRIES US LP (DME)","1800150627000","N"
"AIR LIQUIDE LARGE INDUSTRIES US LP (RE)","BYU_BYU_G4","Generation","Not Applicable","AIR LIQUIDE LARGE INDUSTRIES US LP (DME)","1800150627000","N"
"AL PASTOR BESS LLC (RE)","ALP_BESS_ESR1","Storage","Not Applicable","HABITAT ENERGY INC (DME)","1186110077000","N"
"ALAMO 6 LLC (RE)","SIRIUS_UNIT1","Generation","Not Applicable","ALAMO 6 LLC (DME)","0797690567000","N"
"ALAMO CLEAN ENERGY CENTER LLC (RE)","ALAMO_ST_ESR1","Storage","Not Applicable","ALAMO CLEAN ENERGY CENTER LLC (DME)","1253537937000","N"
"AMADEUS WIND LLC (RE)","AMADEUS1_UNIT1","Generation","Not Applicable","AMADEUS WIND LLC (DME)","0642121427000","N"
"AMADEUS WIND LLC (RE)","AMADEUS1_UNIT2","Generation","Not Applicable","AMADEUS WIND LLC (DME)","0642121427000","N"
"AMADEUS WIND LLC (RE)","AMADEUS2_UNIT3","Generation","Not Applicable","AMADEUS WIND LLC (DME)","0642121427000","N"
"ANACACHO WIND FARM LLC (RE)","ANACACHO_ANA","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"ANEMOI ENERGY STORAGE LLC (RE)","ANEM_ESS_ESR1","Storage","Not Applicable","PLUS POWER LLC (DME)","0097952567000","N"
"ANGELO SOLAR LLC (RE)","ANG_SLR_UNIT1","Generation","Not Applicable","APEX CLEAN ENERGY HOLDINGS LLC (DME)","9633590917000","N"
"ANGELO STORAGE LLC (RE)","ANG_SLR_ESR1","Storage","Not Applicable","APEX CLEAN ENERGY HOLDINGS LLC (DME)","9633590917000","N"
"ANOLE ENERGY STORAGE LLC (RE)","ANOL_ESS_ESR1","Storage","Not Applicable","ANOLE ENERGY STORAGE LLC (DME)","1192394597000","N"
"ANSON SOLAR CENTER 2 LLC (RE)","ANSON2_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"ANSON SOLAR CENTER LLC (RE)","ANSON1_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"ANSON SOLAR CENTER LLC (RE)","ANSON1_UNIT2","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"AP SOLAR 2 LLC (RE)","JAY_UNIT1","Generation","Not Applicable","AP SOLAR 2 LLC (DME)","1171866727000","N"
"AP SOLAR 2 LLC (RE)","JAY_UNIT2","Generation","Not Applicable","AP SOLAR 2 LLC (DME)","1171866727000","N"
"AP SOLAR 4 LLC (RE)","CHAR_SLR_UNIT1","Generation","Not Applicable","AP SOLAR 4 LLC (DME)","1172009437000","N"
"AP SOLAR 4 LLC (RE)","CHAR_SLR_UNIT2","Generation","Not Applicable","AP SOLAR 4 LLC (DME)","1172009437000","N"
"AP SUNRAY LLC (RE)","SUN_SLR_UNIT_1","Generation","Not Applicable","AP SUNRAY LLC (DME)","1189944597000","N"
"APPALOOSA RUN WIND LLC (RE)","APPALOSA_UNIT1","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"APPALOOSA RUN WIND LLC (RE)","APPALOSA_UNIT2","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"APPLE INFRA LLC (RE)","APPLE_ESR1","Storage","Not Applicable","APPLE INFRA LLC (DME)","1194755147000","N"
"ARMADILLO SOLAR CENTER LLC (RE)","ARMD_SLR_UNIT1","Generation","Not Applicable","ARMADILLO SOLAR CENTER LLC (DME)","1113858217000","N"
"ARMADILLO SOLAR CENTER LLC (RE)","ARMD_SLR_UNIT2","Generation","Not Applicable","ARMADILLO SOLAR CENTER LLC (DME)","1113858217000","N"
"ASH CREEK SOLAR LLC (RE)","ASCK_SLR_SOLAR1","Generation","Not Applicable","ASH CREEK SOLAR LLC (DME)","1125862367000","N"
"ASH CREEK SOLAR LLC (RE)","ASCK_SLR_SOLAR2","Generation","Not Applicable","ASH CREEK SOLAR LLC (DME)","1125862367000","N"
"ASTRA WIND LLC (RE)","ASTRA_UNIT1","Generation","Not Applicable","ASTRA WIND LLC (DME)","0804267667000","N"
"AVANGRID TEXAS RENEWABLES LLC (RE)","BAFFIN_UNIT1","Generation","Not Applicable","AVANGRID POWER LLC (DME)","9473764227000","N"
"AVANGRID TEXAS RENEWABLES LLC (RE)","BAFFIN_UNIT2","Generation","Not Applicable","AVANGRID POWER LLC (DME)","9473764227000","N"
"AVANGRID TEXAS RENEWABLES LLC (RE)","BRTSW_BCW1","Generation","Not Applicable","AVANGRID POWER LLC (DME)","9473764227000","N"
"AVANGRID TEXAS RENEWABLES LLC (RE)","PENA3_UNIT3","Generation","PENA3_UNIT3_J02","AVANGRID TEXAS RENEWABLES LLC (DME)","8055242417000","N"
"AVANGRID TEXAS RENEWABLES LLC (RE)","PENA_UNIT2","Generation","PENA_UNIT2_J01","AVANGRID TEXAS RENEWABLES LLC (DME)","8055242417000","N"
"AVANGRID TEXAS RENEWABLES LLC B (RE)","PENA3_UNIT3","Generation","PENA3_UNIT3_J01","CPS ENERGY (DME)","0079360737000","N"
"AVANGRID TEXAS RENEWABLES LLC B (RE)","PENA_UNIT1","Generation","Not Applicable","CPS ENERGY (DME)","0079360737000","N"
"AVANGRID TEXAS RENEWABLES LLC B (RE)","PENA_UNIT2","Generation","PENA_UNIT2_J02","CPS ENERGY (DME)","0079360737000","N"
"AVIATOR WIND LLC (RE)","AVIATOR_UNIT1","Generation","Not Applicable","AVIATOR WIND LLC (DME)","0809740637000","N"
"AVIATOR WIND LLC (RE)","AVIATOR_UNIT2","Generation","Not Applicable","AVIATOR WIND LLC (DME)","0809740637000","N"
"AVIATOR WIND LLC (RE)","DEWOLF_UNIT1","Generation","Not Applicable","AVIATOR WIND LLC (DME)","0809740637000","N"
"AZALEA SPRINGS SOLAR PARK LLC (RE)","AZSP_SLR_SOLAR1","Generation","Not Applicable","EDP RENEWABLES NORTH AMERICA LLC (DME)","0155344697000","N"
"AZURE SKY SOLAR PROJECT LLC (RE)","AZURE_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY SOLAR PROJECT LLC (RE)","AZURE_SOLAR1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY SOLAR PROJECT LLC (RE)","AZURE_SOLAR2","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY WIND PROJECT LLC (RE)","VORTEX_WIND1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY WIND PROJECT LLC (RE)","VORTEX_WIND2","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY WIND PROJECT LLC (RE)","VORTEX_WIND3","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY WIND PROJECT LLC (RE)","VORTEX_WIND4","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"AZURE SKY WIND STORAGE LLC (RE)","VORTEX_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"BACCHARIS STORAGE LLC (RE)","DA_ESR1","Storage","Not Applicable","BACCHARIS STORAGE LLC (DME)","1184994347000","N"
"BACKBONE CREEK BESS LLC (RE)","BKBN_ESR_ESR1","Storage","Not Applicable","BACKBONE CREEK BESS LLC (DME)","1114079017000","N"
"BARBAR STORAGE LLC (RE)","DA_ESR3","Storage","Not Applicable","BARBAR STORAGE LLC (DME)","1194828277000","N"
"BARILLA SOLAR LLC (RE)","HOVEY_UNIT1","Generation","Not Applicable","BARILLA SOLAR LLC (DME)","0792504337000","N"
"BARILLA SOLAR LLC (RE)","HOVEY_UNIT2","Generation","Not Applicable","BARILLA SOLAR LLC (DME)","0792504337000","N"
"BARRETT SOLAR PROJECT LLC (RE)","BART_SLR_SOLAR1","Generation","Not Applicable","BARRETT SOLAR PROJECT LLC (DME)","1079953737000","N"
"BASTROP ENERGY PARTNERS LP (RE)","BASTEN_GTG1100","Generation","Not Applicable","MPH MESQUITE LLC (DME)","1190003507000","N"
"BASTROP ENERGY PARTNERS LP (RE)","BASTEN_GTG2100","Generation","Not Applicable","MPH MESQUITE LLC (DME)","1190003507000","N"
"BASTROP ENERGY PARTNERS LP (RE)","BASTEN_ST0100","Generation","Not Applicable","MPH MESQUITE LLC (DME)","1190003507000","N"
"BDPU SOLAR NIGHTFALL LLC (RE)","NFAL_SLR_SOLAR1","Generation","Not Applicable","BDPU SOLAR NIGHTFALL LLC (DME)","0573068307000","N"
"BEARKAT WIND ENERGY I LLC (RE)","NBOHR_UNIT1","Generation","Not Applicable","BEARKAT WIND ENERGY I LLC (DME)","0804228167000","N"
"BELL 1 SOLAR LLC (RE)","HRMS_SLR_UNIT1","Generation","Not Applicable","BELL 1 SOLAR LLC (DME)","1194536807000","N"
"BELL 1 STORAGE LLC (RE)","HRMS_SLR_ESR1","Storage","Not Applicable","BELL 1 STORAGE LLC (DME)","1194548527000","N"
"BEN MILAM SOLAR 1 LLC (RE)","AURO_SLR_UNIT1","Generation","Not Applicable","SB ENERGY DEVCO (US) INC (DME)","1176517237000","N"
"BEN MILAM SOLAR 2 LLC (RE)","MAND_SLR_UNIT1","Generation","Not Applicable","SB ENERGY DEVCO (US) INC (DME)","1176517237000","N"
"BEN MILAM SOLAR 3 LLC (RE)","HALO_SLR_UNIT1","Generation","Not Applicable","SB ENERGY DEVCO (US) INC (DME)","1176517237000","N"
"BERNARD CREEK SOLAR LLC (RE)","SBE_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BESS LA FERIA LLC (RE)","MESQUITE_ESR1","Storage","Not Applicable","BESS LA FERIA LLC (DME)","1194599377000","N"
"BESS STADIUM LLC (RE)","STADIUM_ESR1","Storage","Not Applicable","BESS STADIUM LLC (DME)","1193307397000","N"
"BEXAR CORRILLA LLC (RE)","Z0_ESR1","Storage","Not Applicable","BEXAR CORRILLA LLC (DME)","1195408857000","N"
"BEXAR ESS LLC (RE)","BEXAR_ES_ESR1","Storage","Not Applicable","BEXAR ESS LLC (DME)","1112066957000","N"
"BEXAR MARTINEZ LLC (RE)","C5_ESR1","Storage","Not Applicable","BEXAR MARTINEZ LLC (DME)","1195412767000","N"
"BHE PEARL SOLAR LLC (RE)","SIRIUS_UNIT2","Generation","Not Applicable","BHE PEARL SOLAR LLC (DME)","0799884957000","N"
"BHER POWER RESOURCES INC (RE)","FLCNS_UNIT1","Generation","Not Applicable","BHER POWER RESOURCES INC (DME)","0219853487000","N"
"BHER POWER RESOURCES INC (RE)","FLCNS_UNIT2","Generation","Not Applicable","BHER POWER RESOURCES INC (DME)","0219853487000","N"
"BIG ELM SOLAR LLC (RE)","BELM_SLR_UNIT1","Generation","Not Applicable","APEX CLEAN ENERGY HOLDINGS LLC (DME)","9633590917000","N"
"BIG SAMPSON WIND PROJECT LLC (RE)","BIGSAMWD_UNIT1","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BIG SAMPSON WIND PROJECT LLC (RE)","BIGSAMWD_UNIT2","Generation","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BIG STAR SOLAR LLC (RE)","BIG_STAR_ESR1","Storage","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BIG STAR SOLAR LLC (RE)","BIG_STAR_UNIT1","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BIG STAR SOLAR LLC (RE)","BIG_STAR_UNIT2","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BLACK SPRINGS BESS LLC (RE)","BLACKSPR_ESR1","Storage","Not Applicable","BLACK SPRINGS BESS LLC (DME)","1194082957000","N"
"BLACKJACK CREEK WIND FARM LLC (RE)","BLACKJAK_UNIT1","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BLACKJACK CREEK WIND FARM LLC (RE)","BLACKJAK_UNIT2","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BLEVINS SOLAR LLC (RE)","BLVN_SLR_SOLAR2","Generation","Not Applicable","BLEVINS SOLAR LLC (DME)","1179323517000","N"
"BLEVINS SOLAR LLC (RE)","BLVN_SLR_SOLAR3","Generation","Not Applicable","BLEVINS SOLAR LLC (DME)","1179323517000","N"
"BLEVINS STORAGE LLC (RE)","BLVN_SLR_ESR1","Storage","Not Applicable","SHELL ENERGY NORTH AMERICA (US) LP (DME)","9375172667000","N"
"BLUE CUBE OPERATIONS LLC (RE)","DOWGEN_DOW_G61","Generation","Not Applicable","BLUE CUBE OPERATIONS LLC (DME)","0797675897000","N"
"BLUE CUBE OPERATIONS LLC (RE)","DOWGEN_DOW_G63","Generation","Not Applicable","BLUE CUBE OPERATIONS LLC (DME)","0797675897000","N"
"BLUE CUBE OPERATIONS LLC (RE)","DOWGEN_DOW_G67","Generation","Not Applicable","BLUE CUBE OPERATIONS LLC (DME)","0797675897000","N"
"BLUE CUBE OPERATIONS LLC (RE)","DOWGEN_DOW_ST65","Generation","Not Applicable","BLUE CUBE OPERATIONS LLC (DME)","0797675897000","N"
"BLUE JAY SOLAR I LLC (RE)","BLUEJAY_ESR1","Storage","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"BLUE JAY SOLAR I LLC (RE)","BLUEJAY_UNIT1","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"BLUE JAY SOLAR I LLC (RE)","BLUEJAY_UNIT2","Generation","Not Applicable","ENEL TRADING NORTH AMERICA LLC (DME)","0805985627000","N"
"BLUE SUMMIT II STORAGE LLC (RE)","BLSUMMIT_ESR2","Storage","Not Applicable","BLUE SUMMIT II STORAGE LLC (DME)","1194518257000","N"
"BLUE SUMMIT II WIND LLC (RE)","BLSUMMIT_UNIT2_17","Generation","Not Applicable","BLUE SUMMIT II WIND LLC (DME)","0811746307000","N"
"BLUE SUMMIT II WIND LLC (RE)","BLSUMMIT_UNIT2_25","Generation","Not Applicable","BLUE SUMMIT II WIND LLC (DME)","0811746307000","N"
"BLUE SUMMIT III WIND LLC (RE)","BLSUMIT3_UNIT_17","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"BLUE SUMMIT III WIND LLC (RE)","BLSUMIT3_UNIT_25","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"BLUE SUMMIT STORAGE LLC (RE)","BLSUMMIT_ESR1","Storage","Not Applicable","BLUE SUMMIT STORAGE LLC (DME)","0804025267000","N"
"BLUE SUMMIT WIND LLC (RE)","BLSUMMIT_BLSMT1_5","Generation","Not Applicable","BLUE SUMMIT WIND LLC (DME)","0783641907000","N"
"BLUE SUMMIT WIND LLC (RE)","BLSUMMIT_BLSMT1_6","Generation","Not Applicable","BLUE SUMMIT WIND LLC (DME)","0783641907000","N"
"BLUEBELL SOLAR II LLC (RE)","CAPRIDG4_BB2_PV1","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"BLUEBELL SOLAR II LLC (RE)","CAPRIDG4_BB2_PV2","Generation","Not Applicable","NEXTERA ENERGY RESOURCES LLC (DME)","0590069377000","N"
"BLUEBELL SOLAR LLC (RE)","CAPRIDG4_BB_PV","Generation","Not Applicable","BLUEBELL SOLAR LLC (DME)","0810780477000","N"
"BMP WIND LLC (RE)","BAIRDWND_UNIT1","Generation","Not Applicable","BMP WIND LLC (DME)","0809377117000","N"
"BMP WIND LLC (RE)","BAIRDWND_UNIT2","Generation","Not Applicable","BMP WIND LLC (DME)","0809377117000","N"
"BNB LAMESA SOLAR LLC (RE)","LMESASLR_UNIT1","Generation","Not Applicable","BNB LAMESA SOLAR LLC (DME)","0803532597000","N"
"BNB TENNYSON SOLAR LLC (RE)","ULYS_SLR_PV1","Generation","Not Applicable","BNB TENNYSON SOLAR LLC (DME)","1125682607000","N"
"BOBCAT BLUFF WIND PROJECT LLC (RE)","BCATWIND_WIND_1","Generation","Not Applicable","BOBCAT BLUFF WIND PROJECT LLC (DME)","0785047937000","N"
"BOCANOVA POWER II LLC (RE)","BCNV2_ES_ESR1","Storage","Not Applicable","BOCANOVA POWER II LLC (DME)","1448709867000","N"
"BOCANOVA POWER LLC (RE)","BCNV_ESS_ESR1","Storage","Not Applicable","BOCANOVA POWER LLC (DME)","1193803237000","N"
"BORDEN COUNTY BATTERY ENERGY STORAGE SYSTEM LLC (RE)","BOCO_ESS_ESR1","Storage","Not Applicable","BORDEN COUNTY BATTERY ENERGY STORAGE SYSTEM LLC (DME)","1189952187000","N"
"BPL CROWN SOLAR LLC (RE)","CRWN_SLR_UNIT1","Generation","Not Applicable","UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC (DME)","0790933507000","N"
"BPL FILES SOLAR LLC (RE)","FILESSLR_PV1","Generation","Not Applicable","UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC (DME)","0790933507000","N"
"BPL SOL SOLAR LLC (RE)","GOLINDA_UNIT1","Generation","Not Applicable","UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC (DME)","0790933507000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT3","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT4","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT5","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT6","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT7","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU GENERATING LLC (RE)","RAB_UNIT8","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU II LLC (RE)","RAB_UNIT1","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAES BAYOU II LLC (RE)","RAB_UNIT2","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BRAZORIA COUNTY SOLAR PROJECT LLC (RE)","DAG_UNIT1","Generation","Not Applicable","BRAZORIA COUNTY SOLAR PROJECT LLC (DME)","1180378257000","N"
"BRAZORIA COUNTY SOLAR PROJECT LLC (RE)","DAG_UNIT2","Generation","Not Applicable","BRAZORIA COUNTY SOLAR PROJECT LLC (DME)","1180378257000","N"
"BRAZORIA SOLAR I LLC (RE)","TNG_SOLAR1","Generation","Not Applicable","TOTALENERGIES RENEWABLES USA LLC (DME)","1185605467000","N"
"BRAZORIA SOLAR I LLC (RE)","TNG_SOLAR2","Generation","Not Applicable","TOTALENERGIES RENEWABLES USA LLC (DME)","1185605467000","N"
"BRAZORIA WEST SOLAR PROJECT LLC (RE)","WES_UNIT1","Generation","Not Applicable","BRAZORIA WEST SOLAR PROJECT LLC (DME)","1180377727000","N"
"BRAZORIA WEST SOLAR PROJECT LLC (RE)","WES_UNIT2","Generation","Not Applicable","BRAZORIA WEST SOLAR PROJECT LLC (DME)","1180377727000","N"
"BRAZOS BEND BESS LLC (RE)","RBN_ESR1","Storage","Not Applicable","BRAZOS BEND BESS LLC (DME)","0995338657000","N"
"BRAZOS WIND VENTURES LLC (RE)","BRAZ_WND_WND1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"BRAZOS WIND VENTURES LLC (RE)","BRAZ_WND_WND2","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"BRIAR CREEK SOLAR 1 LLC (RE)","VISION_UNIT1","Generation","Not Applicable","BRIAR CREEK SOLAR 1 LLC (DME)","1175069407000","N"
"BRIGHT ARROW SOLAR LLC (RE)","BR_ARROW_ESR1","Storage","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BRIGHT ARROW SOLAR LLC (RE)","BR_ARROW_ESR2","Storage","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BRIGHT ARROW SOLAR LLC (RE)","BR_ARROW_UNIT1","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BRIGHT ARROW SOLAR LLC (RE)","BR_ARROW_UNIT2","Generation","Not Applicable","RWE CLEAN ENERGY LLC (DME)","1680625407000","N"
"BRIGHTSIDE SOLAR LLC (RE)","BRIGHTSD_UNIT1","Generation","Not Applicable","LUMINANT ENERGY COMPANY LLC (DME)","6062523937000","N"
"BRISCOE WIND FARM LLC (RE)","BRISCOE_WIND","Generation","Not Applicable","BRISCOE WIND FARM LLC (DME)","0796189047000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT1","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT2","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT3","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT4","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT5","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN GENERATING LLC (RE)","BTM_UNIT6","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN II LLC (RE)","BTM_UNIT7","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROTMAN II LLC (RE)","BTM_UNIT8","Generation","Not Applicable","SOUTH TEXAS ELECTRIC CO OP INC (DME)","0038663327000","N"
"BROWNSVILLE PUBLIC UTILITIES BOARD SILAS RAY (RE)","SILASRAY_SILAS_10","Generation","Not Applicable","BROWNSVILLE PUBLIC UTILITIES BOARD (DME)","6063470377000","N"
"BROWNSVILLE PUBLIC UTILITIES BOARD SILAS RAY (RE)","SILASRAY_SILAS_6","Generation","Not Applicable","BROWNSVILLE PUBLIC UTILITIES BOARD (DME)","6063470377000","N"
"BROWNSVILLE PUBLIC UTILITIES BOARD SILAS RAY (RE)","SILASRAY_SILAS_9","Generation","Not Applicable","BROWNSVILLE PUBLIC UTILITIES BOARD (DME)","6063470377000","N"
"BRP ANTLIA BESS LLC (RE)","ANTL_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP AVILA BESS LLC (RE)","AVIL_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP CACHI BESS LLC (RE)","CACH_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP CARINA BESS LLC (RE)","CARN_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP CASTOR BESS LLC (RE)","CAST_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP DESNA BESS LLC (RE)","DESN_ESS_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP INTERMEDIATECO I LLC (RE)","ALVIN_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP INTERMEDIATECO I LLC (RE)","ANGLETON_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
"BRP INTERMEDIATECO I LLC (RE)","BATCAVE_ESR1","Storage","Not Applicable","ENGIE ENERGY MARKETING NA INC (DME)","9689097397000","N"
