SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
06/25/2026 00:40:18,N,BRP_BRAZ_RN,       27.08
06/25/2026 00:40:18,N,BRP_DIKN_RN,       27.13
06/25/2026 00:40:18,N,BRP_LOOP_RN,       26.66
06/25/2026 00:40:18,N,BRP_LOP1_RN,       22.89
06/25/2026 00:40:18,N,BRP_PBL1_RN,       30.70
06/25/2026 00:40:18,N,BRP_PBL2_RN,       30.70
06/25/2026 00:40:18,N,BRP_RN_UNIT1,       27.08
06/25/2026 00:40:18,N,BRP_SWNY_RN,       27.08
06/25/2026 00:40:18,N,BRP_ZPT1_RN,       22.18
06/25/2026 00:40:18,N,BRP_ZPT2_RN,       22.18
06/25/2026 00:40:18,N,BRTSW_BCW1,       27.59
06/25/2026 00:40:18,N,BR_ARROW_ALL,       27.51
06/25/2026 00:40:18,N,BR_VHB6CT5_6,       27.07
06/25/2026 00:40:18,N,BR_VHB6CT7_8,       27.07
06/25/2026 00:40:18,N,BSS_U1,       27.08
06/25/2026 00:40:18,N,BTE_BTE_G1,       27.16
06/25/2026 00:40:18,N,BTE_BTE_G2,       27.16
06/25/2026 00:40:18,N,BTE_BTE_G3,       27.16
06/25/2026 00:40:18,N,BTE_BTE_G4,       27.16
06/25/2026 00:40:18,N,BTE_CC1,       27.16
06/25/2026 00:40:18,N,BTE_PUN1,       27.16
06/25/2026 00:40:18,N,BTE_PUN2,       27.16
06/25/2026 00:40:18,N,BTM_ALL,       27.10
06/25/2026 00:40:18,N,BUCHAN_ALL,       27.10
06/25/2026 00:40:18,N,BUCKTHRN_RN,       27.49
06/25/2026 00:40:18,N,BUDA_RN,       27.10
06/25/2026 00:40:18,N,BUFF_GAP_ALL,       27.48
06/25/2026 00:40:18,N,BULLCRK_1_2,       28.29
06/25/2026 00:40:18,N,BUZI_SLR_RN,       27.89
06/25/2026 00:40:18,N,BVE_CC1,       27.12
06/25/2026 00:40:18,N,BVE_UNIT1,       27.12
06/25/2026 00:40:18,N,BVE_UNIT2,       27.12
06/25/2026 00:40:18,N,BVE_UNIT3,       27.12
