settlement_point,lat,lon
DUP_PUN1,28.67552,-96.95855
DUP_PUN2,28.67552,-96.95855
DUP_PUN3,28.680471,-96.953236
DUP_PUN4,28.680661,-96.952956
E_HARRIS_RN,26.192028,-97.664516
ELB_ELBCREEK,32.12404,-101.39614
ELMCRK_RN,32.4575,-99.7898
ELZA_SLR_RN,32.825068,-96.172765
EMPCT_RN,32.8133,-96.8524
ENDPARK_ESS1,32.85583,-100.9917
ERKA_SLR_RN,32.5367,-96.2211
ESCONDID_ESR,28.7307,-100.4746
ESTONIAN_ALL,33.4571,-95.6679
EUNICE_ALL,32.1164,-102.5283
EXN_1_3,29.74977,-95.01957
EXN_14,29.74977,-95.01957
EXN_4,29.74977,-95.01957
EXN_8,29.74977,-95.01957
EXN_9_13,29.74977,-95.01957
EXN_PUN1,29.74977,-95.01957
EXN_PUN2,29.74977,-95.01957
EXN_PUN3,29.74977,-95.01957
FENCESLR_ALL,32.0728,-96.224
FERD_ESS_RN,29.3479,-98.574347
FIVEWSLR_ALL,30.9986,-97.259
FPPYD_FPP_G1,29.9219,-96.7531
FPPYD_FPP_G2,29.9219,-96.7531
FPPYD_FPP_G3,29.9219,-96.7531
FRMR_BS2_RN1,33.19061,-96.33818
GAIA_SLR_RN,32.15064,-96.193794
GARC_BESS_RN,26.411117,-98.936863
GODY_SLR_RN,33.63925,-95.62915
GRIM_SLR_RN,30.706736,-96.066021
GRND_SLR_RN,31.2359,-102.1229
GRYH_SLR_RN,31.700791,-102.526707
GZ_RN,29.9624,-95.44201
HEADCAMP_RN,30.916,-102.8553
HEN_RN,29.4821,-95.6199
HI_LONE_ALL,31.171652,-101.8811
HMNG_ESS_RN,33.32467,-97.31031
HNY_COMB_RN,28.192611,-97.757653
HOLZ_SLR_RN,31.883,-102.1873
HRMS_SLR_RN,30.989842,-97.14982
HV_BESS1_RN,30.38405,-97.900406
HWY6_RN,30.440434,-96.13126
HYDR_ESS_RN,30.96629,-102.251245
INGLCO_PUN1,27.88363,-97.2468
INGLCO_PUN2,27.880317,-97.247544
INGLCO_PUN3,27.880317,-97.247544
K2_DGR1_RN,29.531649,-98.424157
