Unit Code,Generator Station Code,Generator Station Description,Generator Type,Nameplate Capacity (MW)
SANDLAKE_BESS,SANDLAKE,SANDLAKE TNP,Battery,10
SANMIGL_G1,SANMIGL,SAN MIGUEL GEN,Thermal,430
SANROMAN_WIND_1,SANROMAN,SAN ROMAN WIND I,Wind,95
SANTACRU_UNIT1,SANTACRU,SANTA CRUZ,Wind,151
SANTACRU_UNIT2,SANTACRU,SANTA CRUZ,Wind,98
SBE_UNIT1,SBE,SBRANCH SOLAR,Solar,234
SBEAN_BESS,SBEAN,SCREWBEAN,Battery,10
SCES_UNIT1,SCES,SANDY CREEK ENERGY STATION,Thermal,1008
SCSES_UNIT1A,SCSES,STRYKER CREEK SES,Thermal,177
SCSES_UNIT2,SCSES,STRYKER CREEK SES,Thermal,479
SE_EDINB_BESS1,SE_EDINB,SE EDINBURG,Battery,10
SENATEWD_UNIT1,SENATEWD,SENATE WIND FARM,Wind,150
SEVNF_ES_BESS1,SEVNF_ES,SEVEN FLAGS BESS,Battery,103
SGAL_BES_BESS1,SGAL_BES,ST GALL ENERGY STORAGE,Battery,102
SGAL_BES_BESS2,SGAL_BES,ST GALL ENERGY STORAGE,Battery,103
SGMTN_SIGNALM2,SGMTN,SIGNAL MOUNTAIN,Wind,7
SGMTN_SIGNALMT,SGMTN,SIGNAL MOUNTAIN,Wind,28
SGSA_BESS1,SGSA,SARAGOSA,Battery,10
SHAFFER_UNIT1,SHAFFER,SHAFFER,Wind,226
SHAMROCK_BESS1,SHAMROCK,SHAMROCK WIND,Battery,99
SHAMROCK_UNIT1,SHAMROCK,SHAMROCK WIND,Wind,203
SHAMROCK_UNIT2,SHAMROCK,SHAMROCK WIND,Wind,21
SHANNONW_UNIT_1,SHANNONW,SHANNON WIND PROJECT,Wind,204
SHAW_SLR_UNIT1,SHAW_SLR,SHAW SOLAR,Solar,125
SHEEPCRK_BESS1,SHEEPCRK,SHEEP CREEK WIND AND STORAGE,Battery,142
SHEEPCRK_UNIT1,SHEEPCRK,SHEEP CREEK WIND AND STORAGE,Wind,150
SIG_SLR_UNIT1,SIG_SLR,SIGNAL RANCH SOLAR,Solar,52
SILASRAY_SILAS_10,SILASRAY,SILAS RAY POWER PLANT,Thermal,61
SILASRAY_SILAS_6,SILASRAY,SILAS RAY POWER PLANT,Thermal,25
SILASRAY_SILAS_9,SILASRAY,SILAS RAY POWER PLANT,Thermal,50
SIRIUS_UNIT1,SIRIUS,WEST TEXAS SOLAR,Solar,110
SIRIUS_UNIT2,SIRIUS,WEST TEXAS SOLAR,Solar,50
SJS_SJS_G1,SJS,SAN JACINTO STEAM,Thermal,88
SJS_SJS_G2,SJS,SAN JACINTO STEAM,Thermal,88
SKY1_SKY1A,SKY1,SKY GLOBAL POWER ONE,Thermal,26
SKY1_SKY1B,SKY1,SKY GLOBAL POWER ONE,Thermal,26
SLCNHLS_ESS1,SLCNHLS,SILICON HILL STORAGE,Battery,52
SLCNHLS_ESS2,SLCNHLS,SILICON HILL STORAGE,Battery,52
SLK_BESS_BESS1,SLK_BESS,SODA LAKE BESS 1,Battery,204
SMTH_ESS_BESS_1,SMTH_ESS,TE SMITH STORAGE,Battery,125
SOLARA_UNIT1,SOLARA,PAINT CREEK SOLAR,Solar,112
SP_BESS,SP,SPENCER,Battery,10
SPARTA_UNIT1,SPARTA,SPARTA SOLAR,Solar,148
SPARTA_UNIT2,SPARTA,SPARTA SOLAR,Solar,105
SPLAIN1_WIND1,SPLAIN1,SOUTH PLAINS PHASE I WIND PROJECT,Wind,102
SPLAIN1_WIND2,SPLAIN1,SOUTH PLAINS PHASE I WIND PROJECT,Wind,98
SPLAIN2_WIND21,SPLAIN2,SOUTH PLAINS PHASE II WIND PROJECT,Wind,149
SPLAIN2_WIND22,SPLAIN2,SOUTH PLAINS PHASE II WIND PROJECT,Wind,152
SPNCER_SPNCE_4,SPNCER,SPENCER SWITCH,Thermal,61
SPNCER_SPNCE_5,SPNCER,SPENCER SWITCH,Thermal,65
SPTX12B_BES1,SPTX12B,SP-TX-12B,Battery,25
SPTX12B_UNIT1,SPTX12B,SP-TX-12B,Solar,158
SRWE1_SRWE2,SRWE1,STEPHENS RANCH WIND ENERGY PROJECT PHASE 1,Wind,167
SRWE1_UNIT1,SRWE1,STEPHENS RANCH WIND ENERGY PROJECT PHASE 1,Wind,214
SSPURTWO_SS3WIND1,SSPURTWO,SPINNING SPUR WIND TWO,Wind,96
SSPURTWO_SS3WIND2,SSPURTWO,SPINNING SPUR WIND TWO,Wind,98
SSPURTWO_WIND_1,SSPURTWO,SPINNING SPUR WIND TWO,Wind,161
STADIUM_BESS,STADIUM,STADIUM AEP,Battery,10
STAM_SLR_BESS1,STAM_SLR,STAMPEDE SOLAR AND BESS,Battery,73
STAM_SLR_SOLAR1,STAM_SLR,STAMPEDE SOLAR AND BESS,Solar,78
STAM_SLR_SOLAR2,STAM_SLR,STAMPEDE SOLAR AND BESS,Solar,178
STAR_SLR_UNIT1,STAR_SLR,STARR SOLAR RANCH,Solar,70
STAR_SLR_UNIT2,STAR_SLR,STARR SOLAR RANCH,Solar,66
STEAM_ENGINE_1,STEAM,STEAM,Thermal,8
STEAM_ENGINE_2,STEAM,STEAM,Thermal,8
STEAM_ENGINE_3,STEAM,STEAM,Thermal,8
STEAM_STEAM_2,STEAM,STEAM,Thermal,25
STEAM_STEAM_3,STEAM,STEAM,Thermal,43
STEAM1A_STEAM_1,STEAM1A,STEAM#1A,Thermal,19
STELLA_UNIT1,STELLA,STELLA WIND,Wind,201
STLHS_SL_PV1,STLHS_SL,STILLHOUSE SOLAR,Solar,211
STP_STP_G1,STP,SOUTH TEXAS PROJECT,Nuclear,1365
STP_STP_G2,STP,SOUTH TEXAS PROJECT,Nuclear,1365
STRATEGC_UNIT1,STRATEGC,STRATEGIC SOLAR 1,Solar,135
STRG_SLR_BESS1,STRG_SLR,STONERIDGE SOLAR,Battery,102
STRG_SLR_UNIT1,STRG_SLR,STONERIDGE SOLAR,Solar,184
STRG_SLR_UNIT2,STRG_SLR,STONERIDGE SOLAR,Solar,18
STWF_T1,STWF,SOUTH TRENT WIND FARM,Wind,101
SUN_SLR_UNIT_1,SUN_SLR,SUNRAY SOLAR,Solar,204
SUNVASLR_BESS1,SUNVASLR,SUNVALLEY SOLAR AND STORAGE,Battery,54
SUNVASLR_BESS2,SUNVASLR,SUNVALLEY SOLAR AND STORAGE,Battery,47
SUNVASLR_UNIT1,SUNVASLR,SUNVALLEY SOLAR AND STORAGE,Solar,166
SUNVASLR_UNIT2,SUNVASLR,SUNVALLEY SOLAR AND STORAGE,Solar,86
SWEC_G1,SWEC,STANTON WIND ENERGY CENTER,Wind,124
SWEENY_UNIT1,SWEENY,SWEENY TNP,Battery,10
SWEETWN2_WND2,SWEETWN2,SWEETWATER WIND 2,Wind,105
SWEETWN2_WND24,SWEETWN2,SWEETWATER WIND 2,Wind,16
SWEETWN3_WND3A,SWEETWN3,SWEETWATER WIND 3,Wind,29
SWEETWN3_WND3B,SWEETWN3,SWEETWATER WIND 3,Wind,101
SWEETWN4_WND4A,SWEETWN4,SWEETWATER WIND 4,Wind,119
SWEETWN4_WND4B,SWEETWN4,SWEETWATER WIND 4,Wind,106
SWEETWN5_WND5,SWEETWN5,SWEETWATER WIND 5,Wind,81
SWEETWND_WND1,SWEETWND,SWEETWATER WIND 1,Wind,38
SWOOSEII_BESS1,SWOOSEII,SWOOSE II,Battery,102
SWTWR_UNIT1,SWTWR,SWEETWATER NO 2,Battery,10
TAHOKA_UNIT_1,TAHOKA,TAHOKA WIND,Wind,150
TAHOKA_UNIT_2,TAHOKA,TAHOKA WIND,Wind,150
TANZ_ESS_BES1,TANZ_ESS,TANZANITE STORAGE,Battery,133
TANZ_ESS_BES2,TANZ_ESS,TANZANITE STORAGE,Battery,133
TAV_UNIT1,TAV,TAVENER,Solar,150
TAV_UNIT2,TAV,TAVENER,Solar,100
TAYGETE_UNIT1,TAYGETE,TAYGETE SOLAR,Solar,126
TAYGETE_UNIT2,TAYGETE,TAYGETE SOLAR,Solar,129
TAYGETE2_UNIT1,TAYGETE2,TAYGETE 2 SOLAR,Solar,102
TAYGETE2_UNIT2,TAYGETE2,TAYGETE 2 SOLAR,Solar,102
TBWF_ESS_BES1,TBWF_ESS,TIMBERWOLF BESS 2,Battery,150
TDWLPR_1_BESS1,TDWLPR_1,TIDWELL PRAIRIE STORAGE 1,Battery,102
TDWLPR_1_BESS2,TDWLPR_1,TIDWELL PRAIRIE STORAGE 1,Battery,102
TEN_CT1,TEN,TENASKA (BRAZOS),Thermal,185
TEN_STG,TEN,TENASKA (BRAZOS),Thermal,107
TGCCS_CT1,TGCCS,TENASKA GATEWAY,Thermal,179
TGCCS_CT2,TGCCS,TENASKA GATEWAY,Thermal,179
TGCCS_CT3,TGCCS,TENASKA GATEWAY,Thermal,179
TGCCS_UNIT4,TGCCS,TENASKA GATEWAY,Thermal,400
TGS_GT01,TGS,TEXAS GULF SULPHUR,Thermal,94
TGW_T1,TGW,PATTERN GULF WIND,Wind,142
TGW_T2,TGW,PATTERN GULF WIND,Wind,142
THW_THWGT_1,THW,TH WHARTON,Thermal,16
THW_THWGT31,THW,TH WHARTON,Thermal,51
THW_THWGT32,THW,TH WHARTON,Thermal,51
THW_THWGT33,THW,TH WHARTON,Thermal,51
THW_THWGT34,THW,TH WHARTON,Thermal,51
THW_THWGT41,THW,TH WHARTON,Thermal,51
THW_THWGT42,THW,TH WHARTON,Thermal,51
THW_THWGT43,THW,TH WHARTON,Thermal,62
THW_THWGT44,THW,TH WHARTON,Thermal,62
THW_THWGT51,THW,TH WHARTON,Thermal,85
THW_THWGT52,THW,TH WHARTON,Thermal,85
THW_THWGT53,THW,TH WHARTON,Thermal,85
THW_THWGT54,THW,TH WHARTON,Thermal,85
THW_THWGT55,THW,TH WHARTON,Thermal,85
THW_THWGT56,THW,TH WHARTON,Thermal,85
THW_THWST_3,THW,TH WHARTON,Thermal,113
THW_THWST_4,THW,TH WHARTON,Thermal,113
TI_SOLAR_UNIT1,TI_SOLAR,TITAN SOLAR,Solar,137
TI_SOLAR_UNIT2,TI_SOLAR,TITAN SOLAR,Solar,131
TIMPP_AGR1,TIMPP,TIMMERMAN POWER PLANT,Thermal,38
TIMPP_AGR2,TIMPP,TIMMERMAN POWER PLANT,Thermal,57
TIMPP_AGR3,TIMPP,TIMMERMAN POWER PLANT,Thermal,38
TIMPP_AGR4,TIMPP,TIMMERMAN POWER PLANT,Thermal,57
TKWSW1_ROSCOE,TKWSW1,ROSCOE WIND FARM,Wind,114
TKWSW1_ROSCOE2A,TKWSW1,ROSCOE WIND FARM,Wind,95
TNG_SOLAR1,TNG,TANGLEWOOD SOLAR PROJECT,Solar,125
TNG_SOLAR2,TNG,TANGLEWOOD SOLAR PROJECT,Solar,125
TNP_ONE_TNP_O_1,TNP_ONE,TNP ONE PLANT,Thermal,175
TNP_ONE_TNP_O_2,TNP_ONE,TNP ONE PLANT,Thermal,175
TNS_SLR_UNIT1,TNS_SLR,TRUE NORTH SOLAR,Solar,119
TNS_SLR_UNIT2,TNS_SLR,TRUE NORTH SOLAR,Solar,119
TNSKA_GT1,TNSKA,TENASKA (TXU),Thermal,91
TNSKA_GT2,TNSKA,TENASKA (TXU),Thermal,91
TNSKA_STG,TNSKA,TENASKA (TXU),Thermal,90
TOPAZ_UNIT1,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT10,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT2,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT3,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT4,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT5,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT6,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT7,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT8,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TOPAZ_UNIT9,TOPAZ,TOPAZ POWER PLANT,Thermal,61
TORR_BESS1,TORR,TORRECILLAS,Battery,10
TORR_UNIT1_25,TORR,TORRECILLAS,Wind,150
TORR_UNIT2_23,TORR,TORRECILLAS,Wind,23
TORR_UNIT2_25,TORR,TORRECILLAS,Wind,128
TORT_ESS_BESS1,TORT_ESS,TORTOLAS BESS,Battery,50
TRBT_SLR_PV1,TRBT_SLR,TIERRA BONITA SOLAR,Solar,150
TRBT_SLR_PV2,TRBT_SLR,TIERRA BONITA SOLAR,Solar,157
TREB_SLR_SOLAR1,TREB_SLR,TRES BAHIAS SOLAR,Solar,196
TRENT_TRENT,TRENT,TRENT WIND FARM,Wind,38
TRENT_UNIT_1B,TRENT,TRENT WIND FARM,Wind,16
TRENT_UNIT_2,TRENT,TRENT WIND FARM,Wind,50
TRENT_UNIT_3A,TRENT,TRENT WIND FARM,Wind,38
TRENT_UNIT_3B,TRENT,TRENT WIND FARM,Wind,14
TRINITY_TH1_BUS1,TRINITY,TRINITY HILLS WIND FARM,Wind,103
TRINITY_TH1_BUS2,TRINITY,TRINITY HILLS WIND FARM,Wind,95
TRSES_UNIT6,TRSES,TRINIDAD SES,Thermal,239
TRUENO_UNIT1,TRUENO,EL TRUENO WIND FARM,Wind,117
TRUENO_UNIT2,TRUENO,EL TRUENO WIND FARM,Wind,123
TRUSGILL_UNIT1,TRUSGILL,TG EAST WIND,Wind,42
TRUSGILL_UNIT2,TRUSGILL,TG EAST WIND,Wind,45
TRUSGILL_UNIT3,TRUSGILL,TG EAST WIND,Wind,42
TRUSGILL_UNIT4,TRUSGILL,TG EAST WIND,Wind,207
TSECA_ES_BESS1,TSECA_ES,TIERRA SECA BESS,Battery,103
TTWEC_G1,TTWEC,TURKEY TRACK WIND ENERGY CENTER,Wind,175
TUL_SLR_UNIT1,TUL_SLR,TULSITA SOLAR,Solar,128
TUL_SLR_UNIT2,TUL_SLR,TULSITA SOLAR,Solar,128
TURQBESS_BESS1,TURQBESS,TURQUOISE STORAGE,Battery,196
TV_BESS,TV,TELVIEW,Battery,10
TXCTY_CTA,TXCTY,TEXAS CITY GEN,Thermal,129
TXCTY_CTB,TXCTY,TEXAS CITY GEN,Thermal,129
TXCTY_CTC,TXCTY,TEXAS CITY GEN,Thermal,129
TXCTY_ST,TXCTY,TEXAS CITY GEN,Thermal,144
TYLRWIND_UNIT1,TYLRWIND,TYLER BLUFF WIND,Wind,126
TYNAN_BESS1,TYNAN,TYNAN,Battery,10
TYSN_SLR_UNIT1,TYSN_SLR,TYSON NICK SOLAR,Solar,91
V2_DGR1,V2,BROOKS,Thermal,32
V2_DGR2,V2,BROOKS,Thermal,32
V2_DGR3,V2,BROOKS,Thermal,32
V4_DGR1,V4,PALO ALTO,Thermal,41
VANCOURT_UNIT1,VANCOURT,VANCOURT SOLAR,Solar,46
VENADO_UNIT1,VENADO,VENADO WIND,Wind,105
VENADO_UNIT2,VENADO,VENADO WIND,Wind,97
VERAWIND_UNIT1,VERAWIND,VERA WIND,Wind,12
VERAWIND_UNIT2,VERAWIND,VERA WIND,Wind,7
VERAWIND_UNIT3,VERAWIND,VERA WIND,Wind,101
VERAWIND_UNIT4,VERAWIND,VERA WIND,Wind,22
VERAWIND_UNIT5,VERAWIND,VERA WIND,Wind,101
VERTIGO_WIND_I,VERTIGO,VERTIGO WIND,Wind,150
VICTORIA_VICTORG5,VICTORIA,VICTORIA,Thermal,180
VICTORIA_VICTORG6,VICTORIA,VICTORIA,Thermal,197
VICTPORT_CTG01,VICTPORT,TRES PORT,Thermal,61
VICTPORT_CTG02,VICTPORT,TRES PORT,Thermal,61
VICTPRT2_UNIT1,VICTPRT2,VICTORIA PORT II,Thermal,61
VICTPRT2_UNIT2,VICTPRT2,VICTORIA PORT II,Thermal,61
VISION_UNIT1,VISION,VISION SOLAR 1,Solar,129
VORTEX_BESS1,VORTEX,VORTEX WIND AND BESS,Battery,122
VORTEX_WIND1,VORTEX,VORTEX WIND AND BESS,Wind,154
VORTEX_WIND2,VORTEX,VORTEX WIND AND BESS,Wind,24
VORTEX_WIND3,VORTEX,VORTEX WIND AND BESS,Wind,158
VORTEX_WIND4,VORTEX,VORTEX WIND AND BESS,Wind,14
W_HARLIN_BESS,W_HARLIN,WEST HARLINGEN,Battery,10
W_PECOS_UNIT1,W_PECOS,WEST OF THE PECOS SOLAR FARM,Solar,100
WAKEWE_G1,WAKEWE,WAKE WIND ENERGY,Wind,115
WAKEWE_G2,WAKEWE,WAKE WIND ENERGY,Wind,142
WAL_BESS_1,WAL,WALSTROM BESS,Battery,205
WAP_WAP_G1,WAP,WA PARISH,Thermal,188
WAP_WAP_G2,WAP,WA PARISH,Thermal,188
WAP_WAP_G3,WAP,WA PARISH,Thermal,299
WAP_WAP_G4,WAP,WA PARISH,Thermal,581
WAP_WAP_G5,WAP,WA PARISH,Thermal,734
WAP_WAP_G6,WAP,WA PARISH,Thermal,734
WAP_WAP_G7,WAP,WA PARISH,Thermal,615
WAP_WAP_G8,WAP,WA PARISH,Thermal,654
WAP_WAPGT_1,WAP,WA PARISH,Thermal,16
WAYMARK_UNIT1,WAYMARK,WAYMARK SOLAR PROJECT,Solar,182
WCOLLOCL_BSS_U1,WCOLLOCL,WEST COLUMBIA LOCAL TNP,Battery,10
WCPP_CT1,WCPP,WISE CTY PLANT,Thermal,275
WCPP_CT2,WCPP,WISE CTY PLANT,Thermal,275
WCPP_ST1,WCPP,WISE CTY PLANT,Thermal,290
WEBBER_S_WSP1,WEBBER_S,WEBBERVILLE SOLAR PROJECT,Solar,27
WEC_WECG1,WEC,WHIRLWIND ENERGY CENTER,Wind,60
WEIL_TRC_BESS,WEIL_TRC,WEIL TRACT,Battery,10
WES_UNIT1,WES,WESTORIA SOLAR,Solar,102
WES_UNIT2,WES,WESTORIA SOLAR,Solar,102
WFCOGEN_UNIT1,WFCOGEN,WICHITA FALLS COGEN,Thermal,20
WFCOGEN_UNIT2,WFCOGEN,WICHITA FALLS COGEN,Thermal,20
WFCOGEN_UNIT3,WFCOGEN,WICHITA FALLS COGEN,Thermal,20
WFCOGEN_UNIT4,WFCOGEN,WICHITA FALLS COGEN,Thermal,20
WFTANK_ESS1,WFTANK,WOLF TANK STORAGE,Battery,150
WGU_UNIT1,WGU,WAGYU SOLAR,Solar,120
WH_WIND_UNIT1,WH_WIND,WHITEHORSE WIND,Wind,209
WH_WIND_UNIT2,WH_WIND,WHITEHORSE WIND,Wind,210
WHCCS_CT1,WHCCS,WOLF HOLLOW GEN,Thermal,265
WHCCS_CT2,WHCCS,WOLF HOLLOW GEN,Thermal,265
WHCCS_STG,WHCCS,WOLF HOLLOW GEN,Thermal,300
WHMESA_UNIT1,WHMESA,WHITE MESA WIND,Wind,152
WHMESA_UNIT2_23,WHMESA,WHITE MESA WIND,Wind,14
WHMESA_UNIT2_28,WHMESA,WHITE MESA WIND,Wind,183
WHMESA_UNIT3_23,WHMESA,WHITE MESA WIND,Wind,19
WHMESA_UNIT3_28,WHMESA,WHITE MESA WIND,Wind,133
WHTTAIL_WR1,WHTTAIL,WOLF RIDGE,Wind,122
WIG_ESS_BES1,WIG_ESS,WIGEON WHISTLE BESS,Battery,123
WILDWIND_UNIT1,WILDWIND,WILD WIND,Wind,18
WILDWIND_UNIT2,WILDWIND,WILD WIND,Wind,48
WILDWIND_UNIT3,WILDWIND,WILD WIND,Wind,6
WILDWIND_UNIT4,WILDWIND,WILD WIND,Wind,55
WILDWIND_UNIT5,WILDWIND,WILD WIND,Wind,53
WIPOPA_WPP_G1,WIPOPA,WINCHESTER POWER PARK,Thermal,61
WIPOPA_WPP_G2,WIPOPA,WINCHESTER POWER PARK,Thermal,61
WIPOPA_WPP_G3,WIPOPA,WINCHESTER POWER PARK,Thermal,61
WIPOPA_WPP_G4,WIPOPA,WINCHESTER POWER PARK,Thermal,61
WIRTZ_WIRTZ_G1,WIRTZ,WIRTZ,Hydro,27
WIRTZ_WIRTZ_G2,WIRTZ,WIRTZ,Hydro,27
WL_RANCH_UNIT1,WL_RANCH,WILSON RANCH SUBSTATION,Wind,200
WND_WHITNEY1,WND,WHITTNEY DAM,Hydro,21
WND_WHITNEY2,WND,WHITTNEY DAM,Hydro,21
WNDTHST2_UNIT1,WNDTHST2,WINDTHORST 2,Wind,68
WOODWRD1_WOODWRD1,WOODWRD1,WOODWARD 1,Wind,92
WOODWRD2_WOODWRD2,WOODWRD2,WOODWARD 2,Wind,86
WORSHAM_BESS1,WORSHAM,WORSHAM TNP,Battery,10
WOVER_UNIT1,WOVER,WESTOVER (ONCOR),Battery,10
WR_BESS1,WR,WHARTON,Battery,10
WZRD_ESS_BES1,WZRD_ESS,WIZARD BESS,Battery,151
X1_DGR1,X1,MEDINABS,Thermal,29
X4_SWRI,X4,SWRI,Battery,10
YNG_WND_UNIT1,YNG_WND,YOUNG WIND,Wind,193
YNG_WND_UNIT2,YNG_WND,YOUNG WIND,Wind,149
YNG_WND_UNIT3,YNG_WND,YOUNG WIND,Wind,146
Z0_DGR1,Z0,BECK_RD,Thermal,29
Z0_DGR2,Z0,BECK_RD,Thermal,29
Z5_DGR1,Z5,SOUTHTON,Thermal,29
ZAPATA_UNIT1,ZAPATA,ZAPATA,Battery,10
ZAPATA_UNIT2,ZAPATA,ZAPATA,Battery,10
ZIER_SLR_BES1,ZIER_SLR,ZIER SOLAR AND STORAGE,Battery,40
ZIER_SLR_PV1,ZIER_SLR,ZIER SOLAR AND STORAGE,Solar,161
