score_start,score_end,window_start,n_kept,n_constraints,n_groups,oos_pooled_r2,is_pooled_r2,rank_spearman,sign_agree,topdecile_hit,coverage,sf_stability,sf_stability_proj,group_churn,window_days,refit_days,ridge_lambda,std_floor,min_binding_hours,rho_min
2025-12-18 00:00:00+00:00,2025-12-25 00:00:00+00:00,2025-04-22 00:00:00+00:00,2188,3688,,0.9386637202425069,0.9909215304470604,0.903600329459382,0.965105735966968,0.7883288829550511,0.959781004616952,0.36969508074828755,,,240,7,1.0,100.0,5,ungrouped
2025-12-25 00:00:00+00:00,2026-01-01 00:00:00+00:00,2025-04-29 00:00:00+00:00,2165,3608,,0.8951133952956664,0.9910608433073558,0.8966221519332284,0.9388576578778528,0.8411771250556296,0.9555682204217069,0.3896385017640368,,,240,7,1.0,100.0,5,ungrouped
2026-01-01 00:00:00+00:00,2026-01-08 00:00:00+00:00,2025-05-06 00:00:00+00:00,2129,3557,,0.9338891859383914,0.9916211090334253,0.8447852933493976,0.8966507721330591,0.8733311081441922,0.9792260983490325,0.4139881113952531,,,240,7,1.0,100.0,5,ungrouped
2026-01-08 00:00:00+00:00,2026-01-15 00:00:00+00:00,2025-05-13 00:00:00+00:00,2067,3433,,0.9434777294590851,0.9915338137007211,0.8533561337458367,0.9623119333089774,0.8592104287197745,0.9800366622718792,0.40845900779337374,,,240,7,1.0,100.0,5,ungrouped
2026-01-15 00:00:00+00:00,2026-01-22 00:00:00+00:00,2025-05-20 00:00:00+00:00,2058,3410,,0.42633695397424454,0.9918021002432355,0.8230569244201893,0.9267880579902545,0.816743827160494,0.8777331028555697,0.42019917263943607,,,240,7,1.0,100.0,5,ungrouped
2026-01-22 00:00:00+00:00,2026-01-29 00:00:00+00:00,2025-05-27 00:00:00+00:00,2066,3421,,0.8920426330437164,0.9981216942992266,0.8727812743271978,0.8718292361555547,0.7624007936507937,0.9341730911127726,0.43368298147971374,,,240,7,1.0,100.0,5,ungrouped
2026-01-29 00:00:00+00:00,2026-02-05 00:00:00+00:00,2025-06-03 00:00:00+00:00,2087,3422,,0.8983182356814832,0.9981345116442899,0.8621091728714968,0.9254775501408408,0.7272376543209876,0.9223151783745802,0.4455987899277108,,,240,7,1.0,100.0,5,ungrouped
2026-02-05 00:00:00+00:00,2026-02-12 00:00:00+00:00,2025-06-10 00:00:00+00:00,2104,3448,,0.8393101721048468,0.9981324715556186,0.8363136673858232,0.9188320545609548,0.8294201940035274,0.9735669230696031,0.4482915282862987,,,240,7,1.0,100.0,5,ungrouped
2026-02-12 00:00:00+00:00,2026-02-19 00:00:00+00:00,2025-06-17 00:00:00+00:00,2109,3466,,0.8460003483919701,0.9981524597525814,0.8662303900929167,0.9273719709348817,0.7343474426807761,0.9739820262828849,0.45520422951308037,,,240,7,1.0,100.0,5,ungrouped
2026-02-19 00:00:00+00:00,2026-02-26 00:00:00+00:00,2025-06-24 00:00:00+00:00,2122,3500,,0.8498948886967845,0.9981507104476093,0.8663434338133834,0.9490901956937564,0.7389553298383573,0.9364877141532497,0.4637715760233609,,,240,7,1.0,100.0,5,ungrouped
