week,hist_days,coverage,total_mass,novel_mass,n_novel_keys,post_rtcb,mass_warmstartable,mass_seen_unfitted,mass_new,share_warmstartable,share_seen_unfitted,share_new,n_warmstartable,n_seen_unfitted,n_new,coverage_ceiling,ceiling_lift,mean_age_days,age_0_30,age_30_90,age_90_180,age_gt180
2025-08-15,371,0.9697577242955635,233138.60600000003,7050.642000000001,179,False,918.5629999999999,5136.971,995.1080000000002,0.13028076024849933,0.7285820213251502,0.1411372184263504,19,122,38,0.9736977109659822,0.003939986670418727,122.6732276392583,0.0,0.4024830087865503,0.31837663829263757,0.27914035292081224
2025-08-22,378,0.9492912217596695,186709.52699999994,9467.812,202,False,2604.1139999999996,5619.671,1244.027,0.27504918771095155,0.5935554064656121,0.13139540582343628,25,128,49,0.9632386300244872,0.013947408264817662,190.2957604774599,0.020438045339028935,0.003891534702397822,0.06822896386256516,0.9074414560960082
2025-08-29,385,0.9224620745231057,251863.148,19528.946000000004,166,False,267.42499999999995,18466.283,795.2379999999998,0.013693775383474351,0.9455852353731735,0.04072098924335188,17,113,36,0.9235238614582868,0.0010617869351811082,229.93748153687955,0.0,0.000250537533888006,0.4085033186874825,0.5912461437786295
2025-09-05,392,0.9784517962971807,145712.053,3139.8329999999996,155,False,80.331,2302.2070000000003,757.2950000000001,0.025584481722435562,0.7332259390865694,0.24118957919099523,17,108,30,0.9790030959209668,0.0005512996237860834,219.84789184748107,0.011054262986891735,0.032664849186490895,0.3046893478233808,0.6515915400032366
2025-09-12,399,0.7841465505641381,112945.91799999999,24379.766000000003,269,False,1226.6879999999999,6074.208,17078.870000000003,0.0503158233758273,0.24914956115657544,0.7005346154675972,27,142,100,0.795007394601016,0.010860844036877926,194.91592809255496,0.14738140423644808,0.07074415010173737,0.172171733969844,0.6097027116919707
2025-09-19,406,0.5733659181638325,194916.875,83158.18200000003,243,False,1147.964,73221.707,8788.511000000002,0.013804582692776996,0.8805111564367769,0.10568426087044566,21,152,70,0.579255423626097,0.0058895054622645215,119.81680610193352,0.039976863385959835,0.010817412392723116,0.8931403772243729,0.056065346996944175
2025-09-26,413,0.8433514440209283,149914.794,23483.936,238,False,8380.987,11150.364,3952.585,0.3568816998990288,0.4748081411906419,0.16831015891032916,24,160,54,0.8992564469654676,0.05590500294453926,219.52587970844007,0.0320536232784993,0.012964105540314049,0.42001353778498873,0.5349687333961978
2025-10-03,420,0.907128744260074,176269.039,16370.327,265,False,1033.5190000000002,7774.986000000001,7561.822,0.06313368083606395,0.4749438419892285,0.46192247717470764,36,133,96,0.9129920484788029,0.0058633042187289375,60.31239483744372,0.09221794664636061,0.7336314088081591,0.11999682637668001,0.05415381816879999
2025-10-10,427,0.8000889250761448,173939.68800000002,34772.47,287,False,1832.376,13483.856,19456.238,0.052696170274933014,0.3877738912421234,0.5595299384829435,27,178,82,0.8106234731201771,0.01053454804403231,58.377284465633686,0.6089448890402407,0.20939425096159298,0.15158952092801914,0.03007133907014718
2025-10-17,434,0.8119209484654796,150652.61,28334.6,256,False,930.3470000000001,20868.713,6535.54,0.03283430858385155,0.7365098854404156,0.23065580597573285,22,161,73,0.8180963940817222,0.006175445616242614,111.07030280099788,0.23317106412983546,0.020450434085346646,0.7149687159737173,0.031409785811100585
2025-10-24,441,0.8679677355787668,152838.074,20179.557,293,False,1423.1799999999998,12254.53,6501.847000000001,0.07052582968000734,0.607274480802527,0.32219968951746564,24,161,108,0.8772794205716045,0.009311684992837632,243.35890681431724,0.2449352857684903,0.04181972765215926,0.05366713978555068,0.6595778467937998
2025-10-31,448,0.8043064221940446,107828.025,21101.252,297,False,2224.167,7230.41,11646.674999999997,0.10540450396023894,0.34265312788075325,0.5519423681590077,35,154,108,0.8249334066908858,0.020626984496841194,109.88304610220366,0.16632743854215984,0.3432417619720103,0.4175432869923886,0.07288751249344137
