window_days,refit_days,ridge_lambda,std_floor,min_binding_hours,oos_pooled_r2,is_pooled_r2,rank_spearman,sign_agree,topdecile_hit,coverage,sf_stability,median_n_kept,n_weeks
60,7,0.1,100.0,25,0.7075619554482618,0.9731755006138868,0.7993944139289696,0.8968936709773371,0.7513009473649621,0.8099565477481631,0.4677935428052539,421.0,78
240,7,10.0,100.0,25,0.7024155786412756,0.9630303215309155,0.7894835290627272,0.8889561742341118,0.7297922173964917,0.8610296780274999,0.433195889626813,1037.0,78
120,7,10.0,100.0,25,0.7018044284918319,0.9610352001620202,0.7944140209482076,0.8909697780883867,0.72855420652217,0.8353379053024952,0.5020035953131451,651.0,77
240,7,0.1,100.0,25,0.6919612344388525,0.9795201533408516,0.7933635139729498,0.8901247390989143,0.7578733962388348,0.8610296780274999,0.2934464386777622,1037.0,78
60,7,10.0,100.0,25,0.6826408641549909,0.9514020049649065,0.7837654967439703,0.8881111466057541,0.7169749886721082,0.8099565477481631,0.535956487700547,421.0,78
120,7,0.1,100.0,25,0.6742197663771394,0.9740326628038107,0.799498873760097,0.8907752127670187,0.756715783813307,0.8353379053024952,0.44075827838600645,651.0,77
240,7,100.0,100.0,25,0.6217002771684774,0.9264306716782056,0.7507693991334461,0.874076486716715,0.6858756820208087,0.8610296780274999,0.4636003676022439,1037.0,78
120,7,100.0,100.0,25,0.6138336388266487,0.9164098126932767,0.7509878795406945,0.8738552581074636,0.6833374815768007,0.8353379053024952,0.5079308479672001,651.0,77
60,7,100.0,100.0,25,0.5911111142945809,0.8847080052593017,0.7374560208086421,0.8681257444836269,0.6734815768764956,0.8099565477481631,0.5460431991188768,421.0,78
