window_days,refit_days,ridge_lambda,std_floor,min_binding_hours,rho_min,oos_pooled_r2,is_pooled_r2,rank_spearman,sign_agree,topdecile_hit,coverage,sf_stability,sf_stability_proj,n_constraints,n_groups,group_churn,median_n_kept,n_weeks
240,7,1.0,100.0,10,ungrouped,0.8014942205055537,0.9896127050846542,0.851095797529761,0.9319779465535324,0.7761654613938839,0.9011130142660421,0.4240630187212559,,3698.086956521739,,,1645.0,46
240,7,1.0,100.0,5,ungrouped,0.7982284432416601,0.9949532889453512,0.854285547207562,0.9337586349922893,0.7786488390328082,0.9225438554530936,0.42688824719105345,,3698.086956521739,,,2199.0,46
240,7,1.0,100.0,25,ungrouped,0.7865469242120939,0.9853223446628325,0.8338870709809886,0.9222788807611056,0.7604427416911584,0.8585110502951143,0.4003453795611378,,3698.086956521739,,,1068.0,46
