settlement_point,sp_type,lat,lon
BRP_RN_UNIT1,OTHER,29.781,-100.8156
BRP_SWNY_RN,RN,29.055615,-95.687237
BRP_ZPT1_RN,RN,26.932675,-99.233708
BRP_ZPT2_RN,RN,26.932675,-99.233708
BRTSW_BCW1,OTHER,33.052226,-98.328415
BR_ARROW_ALL,OTHER,33.22392,-95.730767
BR_VHB6CT5_6,OTHER,29.2567,-98.3825
BR_VHB6CT7_8,OTHER,29.2567,-98.3825
BSS_U1,OTHER,29.149166,-95.651111
BTE_BTE_G1,OTHER,29.7731,-94.9019
BTE_BTE_G2,OTHER,29.7731,-94.9019
BTE_BTE_G3,OTHER,29.7731,-94.9019
BTE_BTE_G4,OTHER,29.7731,-94.9019
BTE_CC1,PCCRN,29.7731,-94.9019
BTE_PUN1,PUN,29.7731,-94.9019
BTE_PUN2,PUN,29.7731,-94.9019
BTM_ALL,OTHER,29.364128,-95.435068
BUCHAN_ALL,OTHER,30.7507,-98.4176
BUCKTHRN_RN,RN,32.371306,-98.377389
BUDA_RN,RN,30.085,-97.8403
BUFF_GAP_ALL,OTHER,32.318221,-100.176986
BULLCRK_1_2,OTHER,32.929014,-101.578617
BUZI_SLR_RN,RN,33.877514,-100.890246
BVE_CC1,PCCRN,29.4731,-95.6244
BVE_UNIT1,OTHER,29.4731,-95.6244
BVE_UNIT2,OTHER,29.4731,-95.6244
BVE_UNIT3,OTHER,29.4731,-95.6244
BYNM_SLR_RN,RN,31.5851,-97.6647
BYP_RN,RN,29.4844,-95.6216
BYRDR_ES_ALL,OTHER,29.056,-95.686
BYU_BYU_1,OTHER,29.7286,-94.987
BYU_BYU_12,OTHER,29.7286,-94.987
BYU_BYU_34,OTHER,29.7286,-94.987
BYU_CC1,PCCRN,29.7286,-94.987
BYU_G4_RN,RN,29.7286,-94.987
BYU_PUN1,PUN,29.7286,-94.987
BYU_PUN2,PUN,29.7286,-94.987
BYU_PUN3,PUN,29.7286,-94.987
BYU_PUN4,PUN,29.7286,-94.987
B_DAVIS_3,OTHER,27.6064,-97.3117
B_DAVIS_4,OTHER,27.6064,-97.3117
B_DAVIS_CC1,PCCRN,27.6064,-97.3117
B_D_B_DAVIG1,OTHER,27.6064,-97.3117
B_D_B_DAVIG2,OTHER,27.6064,-97.3117
CABEZON_ALL,OTHER,26.649,-99.0387
CACH_ESS_RN,RN,29.65313,-98.015155
CALAVER_JKS1,OTHER,29.309722,-98.3203
CALAVER_JKS2,OTHER,29.309722,-98.3203
CALAVER_JTD1,OTHER,29.309722,-98.3203
CALAVER_JTD2,OTHER,29.309722,-98.3203
CALAVER_OWS1,OTHER,29.308056,-98.3242
CALAVER_OWS2,OTHER,29.308056,-98.3242
CALHOUN_ALL,OTHER,28.64807,-96.54621
CALLAHA_WND1,OTHER,32.303889,-100.021667
CAL_CALGT1,OTHER,26.3403,-98.19
CAL_CALSTG1,OTHER,26.3403,-98.19
CAL_CC1,PCCRN,26.3403,-98.19
CAL_PUN1,PUN,26.3403,-98.19
CAL_PUN2,PUN,26.3403,-98.19
CAMWIND_RN,RN,26.195278,-97.466111
CANYONWD_ALL,OTHER,32.631073,-101.008494
CAPRIDG4_CR4,OTHER,31.888,-100.825
CAPRIDGE_ALL,OTHER,31.951958,-101.018936
CARA_ESS_RN,RN,26.2034,-98.23
CARBN_BSP_1,OTHER,32.2591,-101.4048
CARN_ESS_RN,RN,27.81922,-97.535461
CARRIZO_ESR1,OTHER,28.517736,-99.833779
CARTWHL_RN,RN,33.091192,-95.615097
CASL_GAP_UN1,OTHER,31.241808,-102.29027
CAST_ESS_RN,RN,29.135,-95.66
CATARINA_B1,OTHER,28.34705,-99.673703
CBECII_89,OTHER,29.2878,-96.0683
CBECII_CC3,PCCRN,29.289415,-96.065399
CBECII_CT7,OTHER,29.2878,-96.0683
CBEC_ALL,OTHER,29.2878,-96.0683
CBEC_CC1,PCCRN,29.2878,-96.0683
CBEC_CC2,PCCRN,29.2878,-96.0683
CBY4_ALL,OTHER,29.751645,-94.92312
CBY4_CC1,PCCRN,29.751645,-94.92312
CBY_CBY_G1,OTHER,29.75,-94.9256
