ts,settlement_point,bp_ercot
2025-07-23 00:00:00,7RNCHSLR_ALL,0.5483231064467217
2025-07-23 00:00:00,A4_DGR1_RN,0.6190719288990318
2025-07-23 00:00:00,A4_DGR2_RN,0.6190719288990318
2025-07-23 00:00:00,ABINDUST_RN,0.6255582573331039
2025-07-23 00:00:00,ADL_RN,0.1537983407594524
2025-07-23 00:00:00,AEEC,0.2509882428866037
2025-07-23 00:00:00,AE_RN,0.2789948668710528
2025-07-23 00:00:00,AGUAYO_UNIT1,0.5928903064677125
2025-07-23 00:00:00,AJAXWIND_RN,0.23149435762561174
2025-07-23 00:00:00,ALGOD_ALL_RN,0.705794453361354
2025-07-23 00:00:00,ALP_BESS_RN,2.326529754138319
2025-07-23 00:00:00,ALVIN_RN,0.18966868671788928
2025-07-23 00:00:00,AMADEUS_ALL,0.25911304992432255
2025-07-23 00:00:00,AMISTAD_ALL,0.8650660720361563
2025-07-23 00:00:00,AMOCOOIL_CC1,0.5557438399927195
2025-07-23 00:00:00,AMOCOOIL_CC2,0.5557438399927195
2025-07-23 00:00:00,AMOCO_PUN1,0.5557438399927195
2025-07-23 00:00:00,AMOCO_PUN2,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_1,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_2,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_5,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_G1,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_G2,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_G3,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_S1,0.5557438399927195
2025-07-23 00:00:00,AMO_AMOCO_S2,0.5557438399927195
2025-07-23 00:00:00,ANACACHO_ANA,0.48644009562298823
2025-07-23 00:00:00,ANCHOR_ALL,0.3134865964212759
2025-07-23 00:00:00,ANDMDSLR_ALL,0.2413144101199172
2025-07-23 00:00:00,ANEM_ESS_RN,1.0318583244250592
2025-07-23 00:00:00,ANG_ALL,0.6198393799973095
2025-07-23 00:00:00,ANOL_ESS_RN,0.4496008498054216
2025-07-23 00:00:00,ANSON1_ALL,0.49456419060724965
2025-07-23 00:00:00,ANTL_ESS_ES1,1.0938855476862155
2025-07-23 00:00:00,APPALOSA_ALL,2.5069852880269607
2025-07-23 00:00:00,AQUI_ALL,1.9111812282641338
2025-07-23 00:00:00,ARAGORN_RN,0.9736981729938117
2025-07-23 00:00:00,ARY_BESS_RN,0.7960537970310572
2025-07-23 00:00:00,ASCK_SLR_RN,1.9111812282641338
2025-07-23 00:00:00,ASTRA_RN,0.22288417792273646
2025-07-23 00:00:00,ATK_ATKINSG7,0.2890673902792219
2025-07-23 00:00:00,AURO_SLR_RN,0.49721558924256354
2025-07-23 00:00:00,AUSTPL_ALL,0.5294376266188359
2025-07-23 00:00:00,AVIAT_ALL,0.5852899610514077
2025-07-23 00:00:00,AVIL_ESS_RN,0.9858656203753305
2025-07-23 00:00:00,AZSP_SLR_RN,0.38130840277954026
2025-07-23 00:00:00,AZURE_RN,0.3439422774959944
2025-07-23 00:00:00,AZ_ALL,0.2783934287574855
2025-07-23 00:00:00,BAC_RN_ALL,0.6873735057141201
2025-07-23 00:00:00,BAFFIN_ALL,1.2241599512254973
2025-07-23 00:00:00,BAIRDWND_ALL,0.44078477014176043
2025-07-23 00:00:00,BAKE_RN_ALL,0.5648619914601349
2025-07-23 00:00:00,BARROW_ALL,0.8464638439354586
2025-07-23 00:00:00,BASTEN_CC1,0.5450067227122609
2025-07-23 00:00:00,BASTEN_CCU,0.5450067227122609
2025-07-23 00:00:00,BATCAVE_RN,0.952647988659849
2025-07-23 00:00:00,BAYC_BESS_RN,0.7736937254867293
2025-07-23 00:00:00,BBREEZE_1_2,1.5184147551096374
2025-07-23 00:00:00,BCATWD_WD_1,0.32637435210675547
2025-07-23 00:00:00,BCH_RN,0.2789948668710528
2025-07-23 00:00:00,BCK_RN,0.5936544870131278
2025-07-23 00:00:00,BCNV_RN,0.18966868671788928
2025-07-23 00:00:00,BELM_SLR_RN,0.655918813231313
2025-07-23 00:00:00,BEXAR_ES_RN,0.40677346266986464
2025-07-23 00:00:00,BIGSAMWD_RN,0.7783360469722213
2025-07-23 00:00:00,BIGSTAR_ALL,0.5474772050477459
2025-07-23 00:00:00,BKSL_RN,0.24521332024290993
2025-07-23 00:00:00,BLACKJAK_RN,0.6855439561378608
2025-07-23 00:00:00,BLACKSPR_RN,0.3412831241434383
2025-07-23 00:00:00,BLSMT1_5_A_6,0.23985543390565744
2025-07-23 00:00:00,BLUEJAY_RN,0.2731233295794333
2025-07-23 00:00:00,BLVN_RN,0.691352042250458
2025-07-23 00:00:00,BOARDCRK_ALL,0.2671287703860347
2025-07-23 00:00:00,BOCO_ESS_RN,0.6212295630935639
2025-07-23 00:00:00,BOOTLEG_UN1,0.9478417888301869
2025-07-23 00:00:00,BORDAS_345,1.219088237833766
2025-07-23 00:00:00,BOSQUESW_CC1,0.1426128220612905
2025-07-23 00:00:00,BOSQUESW_CC2,0.15881866199353886
2025-07-23 00:00:00,BOSQ_BSQSU_5,0.15881866199353886
2025-07-23 00:00:00,BOSQ_BSQS_12,0.15881866199353886
2025-07-23 00:00:00,BOSQ_BSQS_34,0.1426128220612905
2025-07-23 00:00:00,BRANDON_RN,0.2718081619776282
2025-07-23 00:00:00,BRAUNIG_CC1,0.5450520538367252
2025-07-23 00:00:00,BRAUNIG_VHB1,0.4051899129132257
