scenario,ts,regime,zone,model_lmp,ercot_lmp
backbone_2pass,2025-07-24 21,summer_peak,west,324.6,24.2
backbone_2pass,2025-07-29 20,summer_peak,houston,74.1,36.6
backbone_2pass,2025-07-29 20,summer_peak,north,486.9,23.1
backbone_2pass,2025-07-29 20,summer_peak,south,34.0,20.8
backbone_2pass,2025-07-29 20,summer_peak,west,313.4,6.9
backbone_2pass,2026-04-03 13,high_wind_west,houston,11.1,18.6
backbone_2pass,2026-04-03 13,high_wind_west,north,7.9,18.2
backbone_2pass,2026-04-03 13,high_wind_west,south,8.2,18.6
backbone_2pass,2026-04-03 13,high_wind_west,west,369.2,6.3
backbone_2pass,2025-01-18 01,high_wind_west,houston,29.0,22.5
backbone_2pass,2025-01-18 01,high_wind_west,north,22.7,21.7
backbone_2pass,2025-01-18 01,high_wind_west,south,31.4,23.1
backbone_2pass,2025-01-18 01,high_wind_west,west,854.1,13.8
backbone_2pass,2025-03-14 12,high_wind_west,houston,28.3,27.3
backbone_2pass,2025-03-14 12,high_wind_west,north,21.5,17.1
backbone_2pass,2025-03-14 12,high_wind_west,south,32.1,26.9
backbone_2pass,2025-03-14 12,high_wind_west,west,758.5,0.8
backbone_2pass,2026-03-16 06,high_wind_west,houston,28.1,18.1
backbone_2pass,2026-03-16 06,high_wind_west,north,22.3,13.0
backbone_2pass,2026-03-16 06,high_wind_west,south,33.5,18.6
backbone_2pass,2026-03-16 06,high_wind_west,west,645.4,6.1
backbone_2pass,2026-03-21 06,high_wind_west,houston,28.5,20.7
backbone_2pass,2026-03-21 06,high_wind_west,north,25.1,14.6
backbone_2pass,2026-03-21 06,high_wind_west,south,34.0,20.8
backbone_2pass,2026-03-21 06,high_wind_west,west,460.4,9.6
backbone_2pass,2025-03-02 10,mild_shoulder,houston,27.5,21.0
backbone_2pass,2025-03-02 10,mild_shoulder,north,15.7,18.7
backbone_2pass,2025-03-02 10,mild_shoulder,south,32.9,23.1
backbone_2pass,2025-03-02 10,mild_shoulder,west,667.5,11.6
backbone_2pass,2025-03-22 08,mild_shoulder,houston,27.6,20.7
